Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  08.01.2018;1,25;1,25;1,24;1,24;0
  09.01.2018;1,24;1,25;1,24;1,24;0
  10.01.2018;1,24;1,26;1,24;1,26;0
  11.01.2018;1,26;1,28;1,26;1,27;0
  12.01.2018;1,27;1,28;1,27;1,28;0
  15.01.2018;1,28;1,29;1,28;1,29;0
  16.01.2018;1,28;1,30;1,28;1,29;0
  17.01.2018;1,29;1,29;1,28;1,28;0
  18.01.2018;1,28;1,28;1,28;1,28;0
  19.01.2018;1,28;1,29;1,28;1,28;0
  22.01.2018;1,28;1,29;1,28;1,28;0
  23.01.2018;1,28;1,28;1,28;1,28;0
  24.01.2018;1,28;1,28;1,28;1,28;0
  25.01.2018;1,28;1,28;1,28;1,28;0
  26.01.2018;1,28;1,28;1,28;1,28;0
  29.01.2018;1,28;1,28;1,28;1,28;0
  30.01.2018;1,28;1,29;1,28;1,28;0
  31.01.2018;1,28;1,29;1,28;1,29;0
  01.02.2018;1,29;1,29;1,28;1,28;0
  02.02.2018;1,28;1,30;1,28;1,30;0
  05.02.2018;1,30;1,30;1,29;1,29;0
  06.02.2018;1,29;1,29;1,25;1,25;0
  07.02.2018;1,25;1,27;1,25;1,27;0
  08.02.2018;1,27;1,27;1,25;1,26;0
  09.02.2018;1,26;1,26;1,24;1,25;0
  12.02.2018;1,25;1,27;1,25;1,26;0
  13.02.2018;1,26;1,26;1,26;1,26;0
  14.02.2018;1,26;1,27;1,26;1,26;0
  15.02.2018;1,26;1,26;1,25;1,25;0
  16.02.2018;1,25;1,26;1,25;1,26;0
  19.02.2018;1,26;1,26;1,25;1,25;0
  20.02.2018;1,25;1,25;1,25;1,25;0
  21.02.2018;1,25;1,25;1,25;1,25;0
  22.02.2018;1,25;1,25;1,24;1,24;0
  23.02.2018;1,24;1,24;1,23;1,24;0
  26.02.2018;1,24;1,24;1,23;1,24;0
  27.02.2018;1,24;1,24;1,23;1,24;0
  28.02.2018;1,24;1,24;1,24;1,24;0
  01.03.2018;1,24;1,24;1,23;1,23;0
  02.03.2018;1,23;1,24;1,23;1,23;0
  05.03.2018;1,23;1,23;1,23;1,23;0
  06.03.2018;1,23;1,23;1,23;1,23;0
  07.03.2018;1,23;1,24;1,23;1,24;0
  08.03.2018;1,24;1,24;1,23;1,23;0
  09.03.2018;1,23;1,24;1,22;1,24;0
  12.03.2018;1,24;1,24;1,23;1,23;0
  13.03.2018;1,23;1,23;1,22;1,23;0
  14.03.2018;1,22;1,22;1,22;1,22;0
  15.03.2018;1,22;1,22;1,21;1,22;0
  16.03.2018;1,22;1,23;1,22;1,22;0
  19.03.2018;1,22;1,23;1,22;1,22;0
  20.03.2018;1,21;1,21;1,19;1,19;0
  21.03.2018;1,19;1,20;1,19;1,20;0
  22.03.2018;1,20;1,21;1,19;1,20;0
  23.03.2018;1,20;1,20;1,19;1,19;0
  26.03.2018;1,19;1,19;1,17;1,18;0
  27.03.2018;1,18;1,19;1,18;1,18;0
  28.03.2018;1,18;1,18;1,16;1,18;0
  29.03.2018;1,18;1,18;1,16;1,17;0
  03.04.2018;1,17;1,19;1,17;1,18;0
  04.04.2018;1,18;1,18;1,17;1,18;0
  05.04.2018;1,18;1,19;1,18;1,19;0
  06.04.2018;1,19;1,19;1,19;1,19;0
  09.04.2018;1,19;1,19;1,19;1,19;0
  10.04.2018;1,19;1,20;1,19;1,20;0
  11.04.2018;1,20;1,21;1,19;1,19;0
  12.04.2018;1,19;1,19;1,19;1,19;0
  13.04.2018;1,19;1,20;1,19;1,20;0
