Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  03.01.2018;1.086,75;1.086,75;1.086,75;1.086,75;0
  04.01.2018;1.105,13;1.105,13;1.105,13;1.105,13;0
  05.01.2018;1.105,32;1.105,32;1.105,32;1.105,32;0
  08.01.2018;1.108,92;1.108,92;1.108,92;1.108,92;0
  09.01.2018;1.104,48;1.104,48;1.104,48;1.104,48;0
  10.01.2018;1.101,73;1.101,73;1.101,73;1.101,73;0
  11.01.2018;1.107,68;1.107,68;1.107,68;1.107,68;0
  12.01.2018;1.108,81;1.108,81;1.108,81;1.108,81;0
  15.01.2018;1.109,09;1.109,09;1.109,09;1.109,09;0
  16.01.2018;1.114,92;1.114,92;1.114,92;1.114,92;0
  17.01.2018;1.115,63;1.115,63;1.115,63;1.115,63;0
  18.01.2018;1.119,05;1.119,05;1.119,05;1.119,05;0
  19.01.2018;1.123,62;1.123,62;1.123,62;1.123,62;0
  22.01.2018;1.132,80;1.132,80;1.132,80;1.132,80;0
  23.01.2018;1.137,06;1.137,06;1.137,06;1.137,06;0
  24.01.2018;1.138,57;1.138,57;1.138,57;1.138,57;0
  25.01.2018;1.133,76;1.133,76;1.133,76;1.133,76;0
  26.01.2018;1.131,96;1.131,96;1.131,96;1.131,96;0
  29.01.2018;1.131,23;1.131,23;1.131,23;1.131,23;0
  30.01.2018;1.127,39;1.127,39;1.127,39;1.127,39;0
  31.01.2018;1.130,91;1.130,91;1.130,91;1.130,91;0
  01.02.2018;1.140,01;1.140,01;1.140,01;1.140,01;0
  02.02.2018;1.129,10;1.129,10;1.129,10;1.129,10;0
  05.02.2018;1.122,30;1.122,30;1.122,30;1.122,30;0
  06.02.2018;1.098,60;1.098,60;1.098,60;1.098,60;0
  07.02.2018;1.116,66;1.116,66;1.116,66;1.116,66;0
  08.02.2018;1.117,32;1.117,32;1.117,32;1.117,32;0
  09.02.2018;1.106,06;1.106,06;1.106,06;1.106,06;0
  12.02.2018;1.110,49;1.110,49;1.110,49;1.110,49;0
  13.02.2018;1.111,77;1.111,77;1.111,77;1.111,77;0
  14.02.2018;1.109,63;1.109,63;1.109,63;1.109,63;0
  15.02.2018;1.111,87;1.111,87;1.111,87;1.111,87;0
  16.02.2018;1.112,34;1.112,34;1.112,34;1.112,34;0
  19.02.2018;1.110,21;1.110,21;1.110,21;1.110,21;0
  20.02.2018;1.106,14;1.106,14;1.106,14;1.106,14;0
  21.02.2018;1.111,21;1.111,21;1.111,21;1.111,21;0
  22.02.2018;1.108,30;1.108,30;1.108,30;1.108,30;0
  23.02.2018;1.104,96;1.104,96;1.104,96;1.104,96;0
  26.02.2018;1.101,47;1.101,47;1.101,47;1.101,47;0
  27.02.2018;1.111,12;1.111,12;1.111,12;1.111,12;0
  28.02.2018;1.120,47;1.120,47;1.120,47;1.120,47;0
  02.03.2018;1.106,02;1.106,02;1.106,02;1.106,02;0
  05.03.2018;1.113,16;1.113,16;1.113,16;1.113,16;0
  06.03.2018;1.120,96;1.120,96;1.120,96;1.120,96;0
  07.03.2018;1.112,98;1.112,98;1.112,98;1.112,98;0
  08.03.2018;1.118,17;1.118,17;1.118,17;1.118,17;0
  09.03.2018;1.123,60;1.123,60;1.123,60;1.123,60;0
  12.03.2018;1.128,13;1.128,13;1.128,13;1.128,13;0
  13.03.2018;1.124,41;1.124,41;1.124,41;1.124,41;0
  14.03.2018;1.116,69;1.116,69;1.116,69;1.116,69;0
  15.03.2018;1.115,36;1.115,36;1.115,36;1.115,36;0
  16.03.2018;1.118,52;1.118,52;1.118,52;1.118,52;0
  19.03.2018;1.116,69;1.116,69;1.116,69;1.116,69;0
  20.03.2018;1.120,78;1.120,78;1.120,78;1.120,78;0
  21.03.2018;1.126,46;1.126,46;1.126,46;1.126,46;0
  22.03.2018;1.118,73;1.118,73;1.118,73;1.118,73;0
  23.03.2018;1.107,72;1.107,72;1.107,72;1.107,72;0
  27.03.2018;1.115,06;1.115,06;1.115,06;1.115,06;0
  28.03.2018;1.119,05;1.119,05;1.119,05;1.119,05;0
  29.03.2018;1.123,89;1.123,89;1.123,89;1.123,89;0
  03.04.2018;1.116,66;1.116,66;1.116,66;1.116,66;0
  04.04.2018;1.111,86;1.111,86;1.111,86;1.111,86;0
  05.04.2018;1.130,23;1.130,23;1.130,23;1.130,23;0
  06.04.2018;1.128,82;1.128,82;1.128,82;1.128,82;0
  09.04.2018;1.125,55;1.125,55;1.125,55;1.125,55;0
  10.04.2018;1.125,02;1.125,02;1.125,02;1.125,02;0
  11.04.2018;1.124,03;1.124,03;1.124,03;1.124,03;0
  12.04.2018;1.131,78;1.131,78;1.131,78;1.131,78;0
  13.04.2018;1.134,27;1.134,27;1.134,27;1.134,27;0
  16.04.2018;1.136,60;1.136,60;1.136,60;1.136,60;0
