Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;3.420,31;3.444,30;3.415,99;3.444,30;4.393.263
  03.01.2018;3.444,82;3.491,68;3.444,65;3.487,39;5.132.324
  04.01.2018;3.488,05;3.567,80;3.488,05;3.555,04;7.246.862
  05.01.2018;3.552,78;3.561,35;3.537,49;3.550,88;4.824.564
  08.01.2018;3.550,62;3.568,17;3.541,08;3.550,10;4.722.022
  09.01.2018;3.550,10;3.569,28;3.546,38;3.558,86;5.337.399
  10.01.2018;3.558,98;3.596,54;3.558,19;3.596,14;6.354.935
  11.01.2018;3.596,23;3.600,94;3.569,55;3.600,94;5.683.026
  12.01.2018;3.601,29;3.608,37;3.593,82;3.599,28;4.875.886
  15.01.2018;3.599,45;3.612,87;3.589,18;3.604,39;5.191.365
  16.01.2018;3.603,39;3.618,49;3.590,55;3.611,23;4.960.140
  17.01.2018;3.611,23;3.631,27;3.600,57;3.628,08;4.319.822
  18.01.2018;3.627,73;3.638,78;3.610,29;3.628,34;4.284.572
  19.01.2018;3.627,79;3.658,50;3.622,17;3.643,00;5.787.669
  22.01.2018;3.643,38;3.686,57;3.641,96;3.681,57;5.345.190
  23.01.2018;3.683,63;3.692,42;3.671,36;3.688,78;4.097.672
  24.01.2018;3.688,91;3.700,37;3.667,78;3.673,12;3.965.379
  25.01.2018;3.673,23;3.674,15;3.639,68;3.652,52;5.800.385
  26.01.2018;3.653,64;3.657,06;3.635,88;3.656,26;4.038.605
  29.01.2018;3.656,31;3.670,43;3.631,59;3.636,62;4.320.183
  30.01.2018;3.630,26;3.637,96;3.597,52;3.597,68;4.630.752
  31.01.2018;3.597,68;3.627,23;3.557,27;3.594,27;6.272.195
  01.02.2018;3.593,71;3.644,48;3.587,39;3.587,39;5.434.602
  02.02.2018;3.586,88;3.601,40;3.532,59;3.538,13;4.656.506
  05.02.2018;3.538,01;3.538,01;3.493,27;3.506,85;7.973.538
  06.02.2018;3.506,13;3.506,13;3.297,19;3.408,19;13.771.822
  07.02.2018;3.408,05;3.521,32;3.408,05;3.508,42;7.495.077
  08.02.2018;3.508,98;3.514,88;3.388,67;3.398,48;7.824.227
  09.02.2018;3.396,43;3.396,43;3.329,18;3.354,12;8.510.841
  12.02.2018;3.354,78;3.418,14;3.354,78;3.400,11;5.470.706
  13.02.2018;3.399,97;3.423,61;3.381,48;3.385,63;5.025.476
  14.02.2018;3.386,41;3.402,99;3.360,49;3.387,87;6.260.126
  15.02.2018;3.388,82;3.441,05;3.381,92;3.392,38;5.565.983
  16.02.2018;3.392,52;3.430,30;3.390,15;3.407,99;4.457.619
  19.02.2018;3.407,61;3.424,71;3.404,11;3.409,26;3.151.370
  20.02.2018;3.409,78;3.417,54;3.392,17;3.402,96;3.833.250
  21.02.2018;3.403,25;3.437,08;3.384,02;3.427,32;4.176.356
  22.02.2018;3.427,05;3.427,84;3.393,22;3.417,26;4.456.525
  23.02.2018;3.417,67;3.422,61;3.386,69;3.408,06;6.058.778
  26.02.2018;3.410,14;3.432,51;3.405,17;3.409,94;4.373.970
  27.02.2018;3.410,44;3.436,28;3.395,32;3.429,24;8.607.629
  28.02.2018;3.429,74;3.502,76;3.424,00;3.476,04;11.939.785
  01.03.2018;3.475,30;3.475,69;3.435,19;3.448,50;7.696.116
  02.03.2018;3.447,83;3.447,83;3.362,11;3.388,58;7.518.961
  05.03.2018;3.384,84;3.414,51;3.372,46;3.403,67;6.018.075
  06.03.2018;3.406,29;3.477,44;3.405,55;3.445,41;5.111.011
  07.03.2018;3.445,12;3.445,12;3.419,10;3.438,00;4.954.904
  08.03.2018;3.438,13;3.488,50;3.437,45;3.462,87;5.910.843
  09.03.2018;3.462,87;3.486,56;3.457,08;3.485,51;5.364.068
  12.03.2018;3.485,90;3.499,46;3.474,94;3.483,46;4.848.932
  13.03.2018;3.483,46;3.506,55;3.443,86;3.448,38;4.987.131
  14.03.2018;3.448,40;3.463,60;3.415,26;3.426,19;5.854.901
  15.03.2018;3.432,93;3.451,27;3.410,85;3.421,03;5.642.977
  16.03.2018;3.419,21;3.454,66;3.409,75;3.443,71;20.418.336
  19.03.2018;3.443,03;3.466,33;3.426,60;3.457,81;10.871.737
  20.03.2018;3.457,00;3.489,75;3.449,81;3.483,69;7.777.869
  21.03.2018;3.483,74;3.502,64;3.476,89;3.496,43;8.654.132
  22.03.2018;3.495,12;3.528,27;3.419,92;3.437,68;10.609.351
  23.03.2018;3.438,05;3.438,80;3.371,78;3.410,05;7.036.414
  26.03.2018;3.412,51;3.412,51;3.412,51;3.412,51;0
  27.03.2018;3.405,16;3.447,77;3.405,16;3.421,61;6.287.027
  28.03.2018;3.421,06;3.431,70;3.373,12;3.428,51;6.797.287
