Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;3.990,37;3.991,90;3.957,76;3.979,53;21.814.471
  03.01.2018;3.988,10;4.012,33;3.974,21;4.005,61;26.669.400
  04.01.2018;4.025,78;4.065,60;4.023,33;4.057,92;33.858.579
  05.01.2018;4.067,74;4.097,94;4.067,70;4.097,04;26.195.585
  08.01.2018;4.114,40;4.124,46;4.110,50;4.114,53;21.818.619
  09.01.2018;4.120,05;4.142,98;4.118,56;4.141,64;25.324.166
  10.01.2018;4.143,84;4.164,70;4.136,49;4.157,55;42.578.154
  11.01.2018;4.163,05;4.164,58;4.142,46;4.155,31;34.999.527
  12.01.2018;4.165,08;4.166,00;4.150,30;4.164,12;25.835.042
  15.01.2018;4.164,24;4.172,88;4.151,09;4.164,45;18.836.791
  16.01.2018;4.156,53;4.179,08;4.152,88;4.163,96;25.763.515
  17.01.2018;4.149,18;4.159,93;4.141,36;4.148,60;25.323.866
  18.01.2018;4.157,71;4.161,44;4.126,92;4.142,06;26.609.041
  19.01.2018;4.137,31;4.164,23;4.122,68;4.159,09;27.450.828
  22.01.2018;4.155,86;4.183,63;4.151,88;4.176,88;24.765.565
  23.01.2018;4.185,96;4.188,95;4.149,27;4.161,99;33.909.919
  24.01.2018;4.148,51;4.160,12;4.139,45;4.146,75;28.482.264
  25.01.2018;4.140,93;4.155,98;4.128,05;4.144,23;27.707.708
  26.01.2018;4.146,08;4.167,85;4.140,24;4.162,01;22.570.586
  29.01.2018;4.166,83;4.169,70;4.150,25;4.155,19;20.005.830
  30.01.2018;4.141,64;4.143,27;4.119,04;4.126,57;29.291.128
  31.01.2018;4.118,83;4.128,07;4.106,09;4.111,65;36.901.968
  01.02.2018;4.129,75;4.144,31;4.094,63;4.103,63;30.724.398
  02.02.2018;4.095,97;4.096,67;4.052,30;4.053,59;33.154.103
  05.02.2018;4.029,80;4.039,75;3.991,61;3.997,59;28.985.909
  06.02.2018;3.847,12;3.943,91;3.847,12;3.896,59;55.583.193
  07.02.2018;3.944,31;4.003,05;3.917,42;3.991,90;37.563.358
  08.02.2018;3.979,34;3.989,83;3.900,53;3.911,96;41.066.233
  09.02.2018;3.906,20;3.919,10;3.844,01;3.876,33;54.055.541
  12.02.2018;3.925,73;3.936,16;3.907,84;3.918,18;23.504.057
  13.02.2018;3.925,20;3.930,10;3.884,71;3.884,71;26.601.151
  14.02.2018;3.907,83;3.915,01;3.857,99;3.892,16;34.511.457
  15.02.2018;3.909,18;3.928,52;3.903,20;3.910,11;28.940.151
  16.02.2018;3.933,76;3.956,60;3.931,42;3.941,19;29.830.827
  19.02.2018;3.956,16;3.958,50;3.920,77;3.922,46;16.440.652
  20.02.2018;3.921,05;3.941,52;3.920,36;3.938,62;17.548.675
  21.02.2018;3.932,83;3.955,44;3.916,09;3.950,27;20.113.729
  22.02.2018;3.935,23;3.985,68;3.928,03;3.978,85;19.501.656
  23.02.2018;3.985,54;3.987,21;3.960,57;3.972,53;20.311.806
  26.02.2018;3.993,97;4.005,65;3.984,87;3.992,50;20.628.178
  27.02.2018;4.003,27;4.016,73;3.979,85;4.010,17;28.201.733
  28.02.2018;3.993,92;4.013,13;3.985,01;3.994,45;28.803.669
  01.03.2018;3.995,19;3.999,18;3.940,63;3.943,85;35.994.128
  02.03.2018;3.926,66;3.931,38;3.855,66;3.869,18;43.804.674
  05.03.2018;3.859,61;3.909,66;3.857,87;3.907,04;35.602.454
  06.03.2018;3.934,16;3.944,59;3.915,17;3.916,41;32.537.329
  07.03.2018;3.902,22;3.929,20;3.888,22;3.929,20;28.227.076
  08.03.2018;3.950,86;3.989,58;3.946,44;3.974,52;37.249.569
  09.03.2018;3.969,22;4.004,14;3.967,37;3.987,04;24.567.777
  12.03.2018;4.010,30;4.023,08;3.999,64;4.002,47;23.169.603
  13.03.2018;4.004,14;4.013,63;3.959,77;3.970,47;29.183.409
  14.03.2018;3.951,74;3.964,55;3.924,56;3.929,31;30.039.958
  15.03.2018;3.945,84;3.955,49;3.928,20;3.950,78;29.307.144
  16.03.2018;3.951,28;3.972,96;3.948,19;3.961,55;54.730.312
  19.03.2018;3.956,25;3.958,08;3.911,20;3.920,64;26.131.451
  20.03.2018;3.927,59;3.940,08;3.914,28;3.935,78;23.004.968
  21.03.2018;3.936,09;3.942,31;3.912,19;3.925,78;23.936.373
  22.03.2018;3.911,28;3.915,23;3.830,59;3.858,50;43.128.992
  23.03.2018;3.823,42;3.829,74;3.781,16;3.816,96;41.653.148
  26.03.2018;3.831,30;3.839,67;3.781,86;3.797,02;28.156.830
  27.03.2018;3.841,26;3.847,75;3.817,42;3.824,42;30.543.349
  28.03.2018;3.798,16;3.854,01;3.779,99;3.852,37;37.545.784
  29.03.2018;3.864,22;3.877,20;3.844,90;3.857,10;30.766.257
  03.04.2018;3.835,08;3.841,79;3.810,00;3.831,43;27.544.985
  04.04.2018;3.843,29;3.843,29;3.781,43;3.808,28;30.471.639
  05.04.2018;3.866,86;3.897,80;3.858,81;3.889,02;29.849.772
  06.04.2018;3.877,60;3.886,05;3.862,84;3.870,07;23.272.386
  09.04.2018;3.875,61;3.883,59;3.854,48;3.870,65;19.890.842
  10.04.2018;3.885,68;3.894,31;3.874,72;3.887,91;25.472.567
  11.04.2018;3.877,84;3.889,45;3.854,75;3.856,60;22.396.552
  12.04.2018;3.872,81;3.890,88;3.856,27;3.883,82;28.305.321
  13.04.2018;3.895,80;3.908,22;3.881,27;3.888,32;23.729.041
  16.04.2018;3.895,27;3.895,30;3.860,75;3.868,18;19.372.833
  17.04.2018;3.876,22;3.910,28;3.872,67;3.899,72;19.226.555
  18.04.2018;3.907,44;3.918,82;3.896,75;3.910,46;24.271.283
  19.04.2018;3.915,85;3.923,20;3.904,83;3.911,78;23.784.682
  20.04.2018;3.918,52;3.928,48;3.908,39;3.921,20;27.285.521
  23.04.2018;3.918,24;3.933,64;3.906,57;3.933,64;43.301.020
  24.04.2018;3.931,58;3.939,10;3.914,44;3.931,59;56.575.495
  25.04.2018;3.894,08;3.903,32;3.868,93;3.893,07;27.435.913
  26.04.2018;3.883,78;3.912,06;3.858,23;3.908,15;27.119.917
  27.04.2018;3.904,13;3.921,96;3.898,73;3.912,92;22.214.005
  30.04.2018;3.897,66;3.914,89;3.895,79;3.910,30;24.428.939
  02.05.2018;3.909,15;3.928,86;3.909,15;3.920,90;28.471.658
  03.05.2018;3.909,11;3.911,65;3.860,61;3.871,94;34.303.058
  04.05.2018;3.879,21;3.898,03;3.875,15;3.894,60;28.841.435
  07.05.2018;3.880,09;3.892,84;3.876,29;3.889,26;14.879.337
  08.05.2018;3.887,81;3.910,63;3.882,73;3.910,63;26.021.872
  09.05.2018;3.919,41;3.926,43;3.885,38;3.893,00;42.747.151
  10.05.2018;3.894,91;3.896,06;3.871,88;3.884,54;25.671.414
  11.05.2018;3.882,36;3.885,78;3.873,56;3.884,40;28.074.586
  14.05.2018;3.887,08;3.894,20;3.877,43;3.885,74;24.799.347
  15.05.2018;3.885,45;3.891,99;3.858,72;3.876,57;28.283.731
  16.05.2018;3.873,12;3.882,73;3.847,79;3.857,69;32.342.882
  17.05.2018;3.869,13;3.898,57;3.858,23;3.898,57;26.200.240
  18.05.2018;3.897,03;3.912,08;3.884,84;3.891,11;37.602.943
  21.05.2018;3.901,02;3.915,75;3.893,06;3.904,98;14.895.112
  22.05.2018;3.906,83;3.925,71;3.906,33;3.916,78;27.572.580
  23.05.2018;3.909,67;3.912,27;3.875,60;3.887,18;31.925.630
  24.05.2018;3.893,76;3.894,08;3.849,00;3.860,06;30.475.510
  25.05.2018;3.877,32;3.882,59;3.834,21;3.857,06;31.039.462
  28.05.2018;3.873,78;3.878,77;3.823,00;3.832,86;23.443.505
  29.05.2018;3.807,98;3.814,00;3.731,80;3.760,51;51.991.474
  30.05.2018;3.766,38;3.795,84;3.757,74;3.784,65;40.858.095
  31.05.2018;3.803,17;3.815,64;3.748,96;3.764,22;51.582.957
  01.06.2018;3.792,29;3.826,60;3.787,40;3.809,22;37.255.618
  04.06.2018;3.843,59;3.846,35;3.827,13;3.834,90;27.397.436
  05.06.2018;3.830,16;3.850,83;3.799,15;3.799,15;35.229.458
  06.06.2018;3.804,14;3.810,72;3.770,23;3.791,13;35.301.307
  07.06.2018;3.812,09;3.829,15;3.786,59;3.791,97;28.683.335
  08.06.2018;3.771,34;3.777,41;3.751,98;3.770,97;25.411.608
  11.06.2018;3.794,71;3.819,04;3.784,38;3.814,28;30.494.413
  12.06.2018;3.831,47;3.832,30;3.811,58;3.816,79;25.379.998
  13.06.2018;3.812,37;3.824,33;3.804,60;3.813,94;29.823.816
  14.06.2018;3.800,12;3.837,20;3.784,33;3.830,53;37.112.958
  15.06.2018;3.841,80;3.850,50;3.803,26;3.803,26;54.891.473
  18.06.2018;3.796,06;3.800,55;3.756,01;3.762,96;36.103.345
  19.06.2018;3.729,29;3.751,94;3.708,46;3.745,80;30.314.898
  20.06.2018;3.777,21;3.780,61;3.749,51;3.750,15;33.117.524
  21.06.2018;3.751,45;3.763,83;3.721,13;3.727,54;34.265.051
  22.06.2018;3.736,79;3.763,57;3.736,11;3.763,57;24.303.221
  25.06.2018;3.745,22;3.754,38;3.709,61;3.710,49;21.066.215
  26.06.2018;3.717,87;3.732,18;3.708,49;3.709,84;23.591.527
  27.06.2018;3.717,86;3.744,93;3.678,34;3.729,11;35.078.860
  28.06.2018;3.717,53;3.735,48;3.684,45;3.702,24;28.969.603
  29.06.2018;3.727,76;3.735,26;3.716,45;3.719,86;35.392.655
  02.07.2018;3.694,94;3.705,86;3.664,16;3.697,28;24.417.293
  03.07.2018;3.710,17;3.727,70;3.693,48;3.715,36;22.876.208
  04.07.2018;3.709,67;3.726,49;3.705,96;3.720,10;16.708.669
  05.07.2018;3.725,66;3.770,46;3.725,00;3.747,23;30.922.285
  06.07.2018;3.757,39;3.770,67;3.750,90;3.770,67;24.193.837
  09.07.2018;3.785,28;3.800,52;3.780,14;3.797,06;26.367.361
  10.07.2018;3.800,21;3.810,44;3.791,17;3.803,54;23.967.396
  11.07.2018;3.781,36;3.791,18;3.771,15;3.779,78;23.648.440
  12.07.2018;3.788,95;3.803,28;3.778,33;3.801,34;19.201.297
  13.07.2018;3.802,24;3.812,17;3.798,60;3.804,08;20.067.403
  16.07.2018;3.807,04;3.823,92;3.803,36;3.806,67;14.668.216
  17.07.2018;3.810,00;3.823,60;3.798,02;3.817,64;21.563.904
  18.07.2018;3.816,04;3.828,43;3.812,58;3.820,41;28.004.507
  19.07.2018;3.820,53;3.829,45;3.804,10;3.809,43;21.149.908
  20.07.2018;3.805,89;3.828,41;3.799,58;3.815,16;34.072.815
  23.07.2018;3.812,38;3.835,31;3.800,74;3.832,28;22.876.831
  24.07.2018;3.838,65;3.870,05;3.832,80;3.862,47;35.614.099
  25.07.2018;3.868,53;3.884,19;3.857,89;3.863,86;27.552.722
  26.07.2018;3.863,16;3.875,46;3.853,08;3.874,95;32.909.683
  27.07.2018;3.879,70;3.929,08;3.879,70;3.925,63;29.196.413
  30.07.2018;3.913,36;3.923,82;3.907,87;3.915,53;26.099.098
  31.07.2018;3.920,96;3.921,77;3.893,22;3.899,04;32.586.954
  01.08.2018;3.906,10;3.913,80;3.893,99;3.894,62;27.531.395
  02.08.2018;3.888,34;3.895,33;3.853,04;3.862,26;39.210.117
  03.08.2018;3.873,83;3.878,65;3.862,34;3.874,11;20.510.641
  06.08.2018;3.870,66;3.879,64;3.851,69;3.866,55;21.050.369
  07.08.2018;3.875,44;3.889,43;3.873,13;3.884,33;19.912.192
  08.08.2018;3.884,78;3.885,35;3.862,40;3.863,68;20.394.843
  09.08.2018;3.858,86;3.889,36;3.848,91;3.888,81;19.774.099
  10.08.2018;3.861,28;3.861,28;3.803,07;3.818,94;48.539.981
  13.08.2018;3.802,44;3.812,22;3.778,22;3.801,93;40.534.989
  14.08.2018;3.814,38;3.824,58;3.797,57;3.810,40;27.653.721
  15.08.2018;3.823,49;3.826,97;3.749,84;3.759,82;31.047.644
  16.08.2018;3.774,55;3.783,32;3.761,35;3.775,64;23.221.691
  17.08.2018;3.777,72;3.787,23;3.750,65;3.768,50;26.682.526
  20.08.2018;3.778,47;3.797,70;3.777,03;3.787,71;17.409.993
  21.08.2018;3.782,28;3.812,09;3.773,97;3.800,44;23.790.628
  22.08.2018;3.794,41;3.814,16;3.793,67;3.800,10;26.920.825
  23.08.2018;3.805,87;3.814,20;3.796,58;3.799,09;15.895.474
  24.08.2018;3.797,64;3.820,00;3.797,64;3.805,57;16.182.074
  27.08.2018;3.815,53;3.826,16;3.804,90;3.820,86;13.946.372
  28.08.2018;3.825,33;3.833,22;3.816,01;3.816,01;22.493.736
  29.08.2018;3.818,57;3.826,42;3.807,13;3.817,46;17.929.550
  30.08.2018;3.812,99;3.812,99;3.780,57;3.781,68;20.078.419
  31.08.2018;3.769,48;3.769,48;3.733,85;3.740,71;30.491.667
  03.09.2018;3.745,69;3.746,72;3.721,13;3.729,60;16.608.982
  04.09.2018;3.741,34;3.746,82;3.691,17;3.705,22;36.605.838
  05.09.2018;3.690,51;3.699,48;3.659,97;3.671,46;35.565.204
  06.09.2018;3.663,40;3.670,39;3.651,88;3.651,88;27.150.423
  07.09.2018;3.653,75;3.654,40;3.612,31;3.640,78;57.023.131
  10.09.2018;3.641,29;3.679,82;3.637,08;3.668,36;29.372.711
  11.09.2018;3.677,52;3.681,20;3.656,23;3.668,85;34.877.780
  12.09.2018;3.668,71;3.700,47;3.665,27;3.690,99;34.633.651
  13.09.2018;3.688,94;3.710,96;3.683,94;3.692,36;31.681.954
  14.09.2018;3.706,21;3.713,07;3.696,03;3.709,56;28.346.060
