Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;39,61;39,71;39,08;39,28;0
  03.01.2018;39,29;39,55;39,12;39,51;0
  04.01.2018;39,50;39,93;39,44;39,92;0
  05.01.2018;39,98;40,27;39,67;39,88;0
  08.01.2018;40,02;40,02;39,12;39,32;0
  09.01.2018;39,40;40,15;39,28;40,14;0
  10.01.2018;40,14;40,27;39,62;39,74;0
  11.01.2018;39,88;40,13;39,65;39,96;0
  12.01.2018;39,90;39,99;39,70;39,88;0
  15.01.2018;39,66;40,40;39,66;40,37;0
  16.01.2018;40,46;40,46;39,57;39,82;0
  17.01.2018;39,86;39,99;39,59;39,98;0
  18.01.2018;40,09;40,09;39,69;39,70;0
  19.01.2018;39,60;40,19;39,49;39,94;0
  22.01.2018;39,90;40,07;39,47;39,75;0
  23.01.2018;39,74;40,16;39,72;39,97;0
  24.01.2018;39,90;40,05;39,41;39,85;0
  25.01.2018;39,73;39,86;39,38;39,54;0
  26.01.2018;39,54;39,80;39,46;39,73;0
  29.01.2018;39,83;40,43;39,54;40,39;0
  30.01.2018;40,40;40,40;39,91;40,07;0
  31.01.2018;39,96;40,60;39,96;40,57;0
  01.02.2018;40,57;40,58;40,00;40,37;0
  02.02.2018;40,24;40,93;40,13;40,92;0
  05.02.2018;40,90;40,93;40,39;40,80;0
  06.02.2018;40,88;40,88;39,58;40,65;0
  07.02.2018;40,52;41,04;39,82;40,97;0
  08.02.2018;41,05;41,05;40,32;40,94;0
  09.02.2018;40,85;41,09;40,26;40,40;0
  12.02.2018;40,33;40,58;40,21;40,43;0
  13.02.2018;40,29;40,66;40,19;40,65;0
  14.02.2018;40,60;40,83;40,26;40,75;0
  15.02.2018;40,45;40,77;40,15;40,20;0
  16.02.2018;40,04;40,54;39,83;40,53;0
  20.02.2018;40,82;40,82;40,42;40,57;0
  21.02.2018;40,66;40,66;40,29;40,50;0
  22.02.2018;40,65;40,77;40,09;40,16;0
  23.02.2018;40,24;40,60;40,12;40,59;0
  26.02.2018;40,50;40,60;39,82;39,90;0
  27.02.2018;39,73;40,21;39,63;39,68;0
  28.02.2018;39,73;40,32;39,67;39,96;0
  01.03.2018;39,95;40,21;39,59;40,09;0
  02.03.2018;40,09;40,34;39,86;39,88;0
  05.03.2018;39,97;40,43;39,84;40,37;0
  06.03.2018;40,34;40,47;39,93;40,41;0
  07.03.2018;40,38;40,42;39,73;40,23;0
  08.03.2018;40,20;40,24;39,67;39,87;0
  09.03.2018;39,90;40,04;39,68;39,77;0
  12.03.2018;39,71;40,13;39,71;40,12;0
