Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;5.318,74;5.318,74;5.258,66;5.288,60;68.852.398
  03.01.2018;5.295,31;5.347,63;5.291,89;5.331,28;77.312.924
  04.01.2018;5.360,01;5.430,72;5.360,01;5.413,69;95.313.713
  05.01.2018;5.424,16;5.470,75;5.422,78;5.470,75;78.588.414
  08.01.2018;5.483,47;5.499,15;5.478,92;5.487,42;74.420.496
  09.01.2018;5.491,91;5.525,67;5.491,91;5.523,94;81.252.272
  10.01.2018;5.518,32;5.529,30;5.487,56;5.504,68;99.141.033
  11.01.2018;5.514,09;5.516,59;5.478,97;5.488,55;86.068.175
  12.01.2018;5.502,63;5.520,18;5.486,09;5.517,06;82.890.189
  15.01.2018;5.515,55;5.525,01;5.501,28;5.509,69;57.924.330
  16.01.2018;5.513,70;5.535,95;5.500,22;5.513,82;71.336.177
  17.01.2018;5.496,26;5.518,39;5.485,02;5.493,99;74.787.696
  18.01.2018;5.511,30;5.515,16;5.474,11;5.494,83;84.412.380
  19.01.2018;5.493,99;5.528,89;5.490,32;5.526,51;80.653.663
  22.01.2018;5.520,21;5.543,06;5.512,27;5.541,99;79.625.899
  23.01.2018;5.563,56;5.567,03;5.521,83;5.535,26;87.491.023
  24.01.2018;5.532,85;5.538,58;5.495,16;5.495,16;87.502.431
  25.01.2018;5.493,81;5.525,76;5.456,05;5.481,21;87.200.976
  26.01.2018;5.496,83;5.539,77;5.493,66;5.529,15;67.347.793
  29.01.2018;5.534,14;5.537,53;5.517,67;5.521,59;60.945.301
  30.01.2018;5.493,93;5.518,94;5.464,85;5.473,78;80.986.500
  31.01.2018;5.483,51;5.496,78;5.471,18;5.481,93;85.504.390
  01.02.2018;5.510,59;5.529,40;5.432,59;5.454,55;86.382.955
  02.02.2018;5.433,84;5.437,26;5.364,98;5.364,98;99.205.355
  05.02.2018;5.322,94;5.332,77;5.283,27;5.285,83;86.569.137
  06.02.2018;5.104,28;5.226,13;5.101,15;5.161,81;172.320.950
  07.02.2018;5.208,11;5.267,88;5.169,40;5.255,90;112.533.352
  08.02.2018;5.229,78;5.248,44;5.129,52;5.151,68;119.070.431
  09.02.2018;5.133,46;5.155,87;5.051,21;5.079,21;139.958.942
  12.02.2018;5.130,40;5.165,75;5.113,82;5.140,06;66.161.111
  13.02.2018;5.136,09;5.155,22;5.109,24;5.109,24;77.791.079
  14.02.2018;5.137,57;5.188,14;5.081,62;5.165,26;112.903.985
  15.02.2018;5.211,71;5.255,08;5.204,44;5.222,52;99.855.951
  16.02.2018;5.249,42;5.291,48;5.245,80;5.281,58;104.042.767
  19.02.2018;5.295,33;5.297,37;5.249,89;5.256,18;52.697.843
  20.02.2018;5.257,43;5.291,81;5.249,85;5.289,86;54.316.544
  21.02.2018;5.278,48;5.303,81;5.255,77;5.302,17;57.135.495
