Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;12.897,69;12.924,16;12.745,15;12.871,39;87.332.061
  03.01.2018;12.916,18;13.023,59;12.893,05;12.978,21;86.337.670
  04.01.2018;13.065,98;13.208,35;13.062,67;13.167,89;102.995.892
  05.01.2018;13.219,11;13.332,80;13.219,11;13.319,64;115.262.706
  08.01.2018;13.399,62;13.407,82;13.334,16;13.367,78;97.340.705
  09.01.2018;13.383,26;13.425,02;13.361,22;13.385,59;96.418.438
  10.01.2018;13.355,28;13.377,88;13.227,57;13.281,34;119.696.094
  11.01.2018;13.281,20;13.298,65;13.151,84;13.202,90;111.162.293
  12.01.2018;13.241,28;13.265,14;13.168,01;13.245,03;87.212.008
  15.01.2018;13.244,37;13.250,37;13.173,71;13.200,51;58.163.386
  16.01.2018;13.228,60;13.351,09;13.196,56;13.246,33;88.142.582
  17.01.2018;13.200,92;13.251,44;13.137,51;13.183,96;89.008.581
  18.01.2018;13.250,25;13.293,29;13.201,34;13.281,43;93.746.789
  19.01.2018;13.297,74;13.445,47;13.294,81;13.434,45;110.872.336
  22.01.2018;13.435,14;13.470,05;13.410,96;13.463,69;97.456.351
  23.01.2018;13.577,14;13.596,89;13.517,81;13.559,60;99.048.312
  24.01.2018;13.572,71;13.576,84;13.414,74;13.414,74;106.382.062
  25.01.2018;13.374,38;13.443,36;13.222,47;13.298,36;106.819.932
  26.01.2018;13.297,51;13.348,69;13.268,31;13.340,17;77.458.340
  29.01.2018;13.358,90;13.370,02;13.274,84;13.324,48;79.495.680
  30.01.2018;13.223,97;13.309,86;13.171,91;13.197,71;116.694.109
  31.01.2018;13.210,76;13.268,41;13.159,35;13.189,48;110.453.870
  01.02.2018;13.235,15;13.301,41;12.971,78;13.003,90;122.923.170
  02.02.2018;12.954,59;12.954,59;12.782,07;12.785,16;142.723.374
  05.02.2018;12.687,79;12.752,60;12.622,44;12.687,49;115.514.117
  06.02.2018;12.232,86;12.550,16;12.232,86;12.392,66;207.830.558
  07.02.2018;12.478,68;12.651,28;12.414,84;12.590,43;154.610.884
  08.02.2018;12.506,18;12.541,32;12.187,45;12.260,29;156.305.847
  09.02.2018;12.263,10;12.296,18;12.003,36;12.107,48;178.142.839
  12.02.2018;12.238,63;12.379,16;12.222,34;12.282,77;122.017.766
  13.02.2018;12.282,76;12.300,63;12.196,22;12.196,50;96.320.423
  14.02.2018;12.294,85;12.393,71;12.075,21;12.339,16;131.744.278
  15.02.2018;12.425,45;12.479,97;12.275,04;12.346,17;113.443.293
  16.02.2018;12.408,48;12.484,12;12.368,71;12.451,96;105.665.183
  19.02.2018;12.495,07;12.505,49;12.361,86;12.385,60;67.407.958
  20.02.2018;12.403,63;12.496,10;12.333,79;12.487,90;87.239.365
  21.02.2018;12.458,18;12.474,37;12.372,26;12.470,49;83.653.600
  22.02.2018;12.358,82;12.497,71;12.283,70;12.461,91;104.171.504
  23.02.2018;12.491,77;12.513,32;12.431,94;12.483,79;98.344.024
  26.02.2018;12.566,05;12.601,46;12.484,59;12.527,04;78.247.620
  27.02.2018;12.573,65;12.577,56;12.436,13;12.490,73;90.420.109
  28.02.2018;12.427,46;12.516,92;12.417,96;12.435,85;93.673.735
  01.03.2018;12.386,40;12.387,88;12.143,14;12.190,94;112.892.691
  02.03.2018;12.051,89;12.081,40;11.877,66;11.913,71;120.633.998
  05.03.2018;11.831,57;12.110,18;11.830,98;12.090,87;109.952.165
  06.03.2018;12.229,29;12.259,58;12.110,34;12.113,87;98.498.202
  07.03.2018;12.060,09;12.275,69;12.020,61;12.245,36;91.790.247
  08.03.2018;12.237,94;12.382,69;12.177,12;12.355,57;98.124.526
  09.03.2018;12.331,64;12.407,98;12.284,57;12.346,68;96.512.336
  12.03.2018;12.453,30;12.454,96;12.361,01;12.418,39;139.286.413
  13.03.2018;12.425,69;12.459,90;12.162,47;12.221,03;132.162.500
  14.03.2018;12.212,49;12.322,89;12.202,76;12.237,74;104.889.929
  15.03.2018;12.284,14;12.378,39;12.239,96;12.345,56;109.820.018
  16.03.2018;12.345,56;12.454,02;12.337,62;12.389,58;209.540.746
  19.03.2018;12.346,51;12.369,77;12.183,79;12.217,02;99.026.136
  20.03.2018;12.261,19;12.320,00;12.191,55;12.307,33;73.551.092
  21.03.2018;12.336,76;12.344,09;12.250,37;12.309,15;110.977.795
  22.03.2018;12.187,73;12.267,17;12.009,50;12.100,08;141.604.392
  23.03.2018;11.995,51;12.001,78;11.818,70;11.886,31;148.943.178
  26.03.2018;11.919,64;11.984,50;11.726,62;11.787,26;102.183.559
  27.03.2018;11.996,35;12.042,78;11.927,91;11.970,83;100.506.527
  28.03.2018;11.868,08;11.961,16;11.770,40;11.940,71;115.760.075
  29.03.2018;11.956,34;12.151,31;11.942,28;12.096,73;112.583.633
  03.04.2018;11.997,47;12.069,48;11.913,62;12.002,45;96.465.133
  04.04.2018;12.000,47;12.011,12;11.792,35;11.957,90;109.466.065
  05.04.2018;12.153,61;12.322,37;12.135,64;12.305,19;112.254.171
  06.04.2018;12.242,94;12.290,03;12.202,05;12.241,27;88.935.213
  09.04.2018;12.311,02;12.371,11;12.205,39;12.261,75;78.972.500
  10.04.2018;12.389,90;12.428,90;12.334,95;12.397,32;100.769.364
  11.04.2018;12.372,07;12.381,53;12.256,59;12.293,97;100.433.440
  12.04.2018;12.282,39;12.434,24;12.263,70;12.415,01;83.736.302
  13.04.2018;12.461,31;12.523,97;12.411,65;12.442,40;77.655.251
  16.04.2018;12.478,99;12.487,04;12.375,63;12.391,41;63.993.359
  17.04.2018;12.443,20;12.614,25;12.417,26;12.585,57;86.704.014
  18.04.2018;12.597,58;12.640,25;12.548,45;12.590,83;84.193.566
  19.04.2018;12.595,61;12.595,61;12.534,63;12.567,42;72.020.070
  20.04.2018;12.555,96;12.585,37;12.490,77;12.540,50;113.385.865
