Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;2.085,20;2.122,38;2.082,09;2.118,45;0
  03.01.2018;2.118,45;2.129,87;2.093,29;2.110,64;0
  04.01.2018;2.110,64;2.128,79;2.100,54;2.127,60;0
  05.01.2018;2.127,60;2.143,43;2.124,40;2.139,26;0
  08.01.2018;2.139,26;2.161,35;2.118,44;2.156,50;0
  09.01.2018;2.155,59;2.162,42;2.144,18;2.162,42;0
  10.01.2018;2.159,28;2.171,78;2.132,50;2.148,43;0
  11.01.2018;2.146,16;2.175,04;2.140,38;2.175,04;0
  12.01.2018;2.178,39;2.194,37;2.161,74;2.188,03;0
  15.01.2018;2.189,51;2.194,06;2.168,06;2.174,33;0
  16.01.2018;2.177,07;2.186,67;2.172,81;2.186,67;0
  17.01.2018;2.181,12;2.186,67;2.140,57;2.162,89;0
  18.01.2018;2.164,96;2.173,17;2.142,44;2.157,66;0
  19.01.2018;2.160,16;2.192,39;2.157,66;2.181,91;0
  22.01.2018;2.185,32;2.208,64;2.174,01;2.202,10;0
  23.01.2018;2.212,61;2.239,34;2.202,10;2.239,34;0
  24.01.2018;2.241,22;2.261,52;2.219,21;2.261,52;0
  25.01.2018;2.261,08;2.261,08;2.235,38;2.235,62;0
  26.01.2018;2.235,15;2.249,67;2.230,45;2.239,93;0
  29.01.2018;2.244,17;2.262,71;2.229,09;2.251,12;0
  30.01.2018;2.248,45;2.253,02;2.189,90;2.215,83;0
  31.01.2018;2.213,67;2.238,24;2.189,81;2.236,84;0
  01.02.2018;2.241,77;2.275,91;2.231,72;2.256,39;0
  02.02.2018;2.253,37;2.253,37;2.217,79;2.228,64;0
  05.02.2018;2.211,75;2.211,75;2.166,25;2.170,65;0
  06.02.2018;2.140,88;2.140,88;2.078,36;2.130,79;0
  07.02.2018;2.144,73;2.158,25;2.133,92;2.157,50;0
  08.02.2018;2.151,94;2.172,47;2.133,00;2.133,00;0
  09.02.2018;2.103,27;2.116,96;2.086,53;2.102,64;0
  12.02.2018;2.120,75;2.137,96;2.086,83;2.086,83;0
  13.02.2018;2.084,80;2.102,53;2.062,49;2.091,62;0
  14.02.2018;2.106,39;2.122,33;2.089,68;2.116,59;0
  15.02.2018;2.124,44;2.158,78;2.124,18;2.152,27;0
  16.02.2018;2.165,97;2.175,40;2.150,18;2.171,48;0
  20.02.2018;2.167,38;2.175,17;2.142,83;2.159,92;0
