Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;1.164,34;1.166,82;1.159,78;1.164,06;0
  03.01.2018;1.163,90;1.169,24;1.162,94;1.167,39;0
  04.01.2018;1.167,14;1.175,03;1.167,14;1.175,03;0
  05.01.2018;1.173,19;1.184,74;1.170,84;1.183,63;0
  08.01.2018;1.183,82;1.186,11;1.180,18;1.185,28;0
  09.01.2018;1.184,67;1.191,35;1.179,99;1.183,74;0
  10.01.2018;1.185,01;1.185,01;1.163,33;1.170,40;0
  11.01.2018;1.171,10;1.171,10;1.155,89;1.160,67;0
  12.01.2018;1.158,82;1.168,32;1.155,86;1.166,51;0
  15.01.2018;1.169,10;1.170,18;1.158,34;1.170,18;0
  16.01.2018;1.168,94;1.171,90;1.164,09;1.165,91;0
  17.01.2018;1.166,02;1.168,46;1.157,59;1.163,27;0
  18.01.2018;1.163,96;1.170,26;1.161,19;1.168,29;0
  19.01.2018;1.166,53;1.182,31;1.166,40;1.182,31;0
  22.01.2018;1.182,61;1.183,97;1.176,55;1.179,80;0
  23.01.2018;1.181,48;1.196,27;1.181,48;1.192,20;0
  24.01.2018;1.194,21;1.194,21;1.178,98;1.179,09;0
  25.01.2018;1.179,79;1.181,70;1.156,17;1.157,89;0
  26.01.2018;1.160,24;1.168,55;1.160,08;1.168,36;0
  29.01.2018;1.169,95;1.170,12;1.161,81;1.161,81;0
  30.01.2018;1.159,72;1.159,72;1.146,87;1.149,26;0
  31.01.2018;1.152,73;1.156,19;1.146,90;1.147,07;0
  01.02.2018;1.147,75;1.154,46;1.141,82;1.145,74;0
  02.02.2018;1.144,82;1.147,80;1.134,50;1.136,50;0
  05.02.2018;1.135,53;1.135,53;1.108,01;1.114,63;0
  06.02.2018;1.081,18;1.111,81;1.074,58;1.100,27;0
  07.02.2018;1.108,71;1.121,16;1.094,02;1.115,71;0
  08.02.2018;1.118,22;1.118,22;1.098,65;1.099,69;0
  09.02.2018;1.097,85;1.105,75;1.087,08;1.091,87;0
  12.02.2018;1.098,70;1.111,44;1.098,70;1.104,79;0
  13.02.2018;1.104,03;1.109,04;1.098,37;1.107,49;0
  14.02.2018;1.110,61;1.112,48;1.097,61;1.112,48;0
  15.02.2018;1.112,51;1.123,35;1.111,98;1.120,84;0
  16.02.2018;1.121,39;1.133,61;1.121,39;1.131,26;0
  19.02.2018;1.135,97;1.136,05;1.123,47;1.125,58;0
  20.02.2018;1.127,17;1.130,71;1.119,84;1.126,99;0
  21.02.2018;1.123,87;1.124,92;1.115,38;1.122,12;0
  22.02.2018;1.116,17;1.121,62;1.111,29;1.118,97;0
  23.02.2018;1.118,34;1.118,34;1.109,14;1.110,55;0
  26.02.2018;1.113,31;1.116,08;1.109,32;1.113,14;0
  27.02.2018;1.115,24;1.117,54;1.108,88;1.112,62;0
  28.02.2018;1.112,60;1.112,60;1.103,92;1.105,30;0
  01.03.2018;1.111,54;1.111,70;1.098,24;1.101,91;0
  02.03.2018;1.101,91;1.101,91;1.101,91;1.101,91;0
  05.03.2018;1.090,90;1.095,98;1.066,76;1.091,34;0
  06.03.2018;1.095,15;1.116,69;1.095,15;1.108,53;0
  07.03.2018;1.104,05;1.114,05;1.102,05;1.114,05;0
  08.03.2018;1.110,54;1.117,52;1.106,41;1.117,40;0
  09.03.2018;1.115,54;1.118,19;1.113,04;1.115,84;0
  12.03.2018;1.119,42;1.122,97;1.111,79;1.114,95;0
  13.03.2018;1.113,89;1.114,14;1.103,00;1.103,21;0
