Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;21.898,69;21.942,17;21.613,89;21.845,16;310.346.484
  03.01.2018;21.890,45;21.941,65;21.719,07;21.904,56;291.948.228
  04.01.2018;22.012,10;22.572,52;22.011,59;22.512,13;403.267.063
  05.01.2018;22.547,94;22.762,29;22.534,22;22.762,29;309.884.430
  08.01.2018;22.867,80;22.898,76;22.704,78;22.845,69;329.431.126
  09.01.2018;22.850,49;23.055,53;22.840,12;23.004,98;307.198.291
  10.01.2018;22.979,12;23.172,81;22.955,64;23.157,42;491.205.473
  11.01.2018;23.155,98;23.323,21;23.130,13;23.305,26;422.545.810
  12.01.2018;23.427,89;23.474,51;23.343,76;23.429,83;352.028.861
  15.01.2018;23.458,65;23.604,24;23.331,58;23.543,55;280.289.313
  16.01.2018;23.537,57;23.697,72;23.443,46;23.495,28;358.754.204
  17.01.2018;23.369,56;23.555,47;23.355,85;23.514,67;356.526.376
  18.01.2018;23.579,52;23.630,81;23.438,84;23.630,81;356.227.410
  19.01.2018;23.627,80;23.866,60;23.602,68;23.749,22;392.674.325
  22.01.2018;23.671,55;23.896,47;23.629,83;23.890,18;363.284.893
  23.01.2018;23.985,42;24.050,15;23.787,32;23.836,60;330.910.624
  24.01.2018;23.815,53;23.882,88;23.622,62;23.622,62;301.703.013
  25.01.2018;23.616,13;23.818,28;23.600,06;23.719,81;404.476.481
  26.01.2018;23.725,25;23.874,85;23.697,62;23.856,99;302.933.162
  29.01.2018;23.897,87;23.960,29;23.774,49;23.801,55;331.599.833
  30.01.2018;23.682,47;23.799,44;23.411,54;23.480,92;500.047.331
  31.01.2018;23.504,60;23.602,10;23.419,87;23.507,06;358.941.202
  01.02.2018;23.639,28;23.809,51;23.436,36;23.541,46;415.192.261
  02.02.2018;23.545,12;23.561,90;23.184,33;23.202,66;423.072.640
  05.02.2018;22.915,74;23.104,41;22.817,51;22.821,63;438.819.867
  06.02.2018;22.002,92;22.649,40;21.982,17;22.347,01;827.197.534
  07.02.2018;22.606,41;23.009,32;22.400,19;22.986,18;655.886.285
  08.02.2018;22.875,13;22.998,11;22.393,31;22.466,60;552.612.474
  09.02.2018;22.339,40;22.569,62;22.041,82;22.166,75;577.454.432
  12.02.2018;22.389,16;22.512,94;22.230,95;22.336,78;363.018.415
  13.02.2018;22.335,33;22.370,42;22.034,42;22.034,42;367.475.223
  14.02.2018;22.191,75;22.481,18;21.907,71;22.433,75;536.509.064
  15.02.2018;22.536,68;22.736,26;22.393,48;22.495,64;423.038.301
  16.02.2018;22.716,93;22.806,90;22.618,08;22.797,88;329.692.686
  19.02.2018;22.852,70;22.860,51;22.568,92;22.568,92;211.055.822
  20.02.2018;22.579,79;22.702,63;22.477,00;22.673,56;354.427.042
  21.02.2018;22.615,00;22.691,70;22.449,26;22.653,01;327.559.432
  22.02.2018;22.516,59;22.601,66;22.269,72;22.463,51;362.992.985
  23.02.2018;22.469,11;22.698,74;22.394,59;22.672,15;398.632.040
  26.02.2018;22.776,43;22.859,00;22.618,79;22.706,21;291.776.082
  27.02.2018;22.755,62;22.853,28;22.639,14;22.724,46;376.336.504
  28.02.2018;22.602,93;22.792,29;22.602,39;22.607,61;369.675.273
  01.03.2018;22.527,12;22.592,69;22.344,20;22.448,38;374.640.085
  02.03.2018;22.283,94;22.298,71;21.832,93;21.912,14;497.552.404
  05.03.2018;21.468,88;21.826,74;21.460,46;21.819,91;496.957.696
  06.03.2018;22.000,14;22.273,55;21.950,22;22.202,50;637.893.397
  07.03.2018;22.134,39;22.521,46;22.100,55;22.473,47;581.093.068
  08.03.2018;22.514,93;22.791,79;22.417,47;22.731,10;679.749.993
  09.03.2018;22.710,84;22.778,84;22.621,81;22.745,60;547.105.545
  12.03.2018;22.888,91;22.906,63;22.710,83;22.764,91;344.989.028
  13.03.2018;22.806,49;22.871,82;22.588,90;22.690,98;444.004.381
  14.03.2018;22.694,67;22.786,94;22.400,58;22.452,34;419.584.958
  15.03.2018;22.539,60;22.736,28;22.454,15;22.713,47;500.725.773
  16.03.2018;22.780,03;22.938,06;22.685,40;22.857,69;701.973.493
  19.03.2018;22.843,11;22.874,19;22.595,43;22.633,10;339.862.956
  20.03.2018;22.641,39;22.836,53;22.597,46;22.798,15;354.435.161
  21.03.2018;22.837,78;22.858,16;22.674,06;22.820,12;339.442.221
  22.03.2018;22.694,37;22.830,41;22.208,26;22.397,84;454.364.905
  23.03.2018;22.127,33;22.366,65;21.964,82;22.289,10;453.026.167
  26.03.2018;22.354,47;22.354,47;21.921,46;22.011,76;348.604.628
  27.03.2018;22.336,82;22.394,18;22.170,51;22.209,75;331.332.920
  28.03.2018;22.013,65;22.331,36;21.918,99;22.331,36;407.523.821
  29.03.2018;22.381,10;22.556,90;22.326,98;22.411,15;323.777.878
  03.04.2018;22.288,50;22.560,99;22.219,86;22.510,33;343.219.499
  04.04.2018;22.523,65;22.538,41;22.205,68;22.442,78;347.542.659
  05.04.2018;22.733,85;22.976,65;22.714,24;22.969,50;465.806.849
  06.04.2018;22.933,41;23.000,43;22.865,96;22.929,87;608.287.263
  09.04.2018;22.997,35;23.126,92;22.946,52;23.053,99;590.655.223
  10.04.2018;23.167,30;23.193,97;23.037,37;23.173,68;657.347.791
  11.04.2018;23.133,41;23.206,03;22.957,62;23.012,86;663.110.751
  12.04.2018;23.022,83;23.331,44;23.006,54;23.304,88;441.379.420
  13.04.2018;23.322,32;23.432,77;23.278,03;23.330,32;396.471.911
  16.04.2018;23.342,68;23.411,14;23.292,35;23.329,31;286.258.046
  17.04.2018;23.406,84;23.674,20;23.386,52;23.649,04;363.778.336
  18.04.2018;23.687,01;23.801,67;23.605,13;23.759,88;397.017.043
  19.04.2018;23.766,19;23.822,58;23.696,76;23.792,04;383.240.491
  20.04.2018;23.803,40;23.950,53;23.698,91;23.829,34;458.677.633
  23.04.2018;23.783,04;23.982,52;23.765,66;23.982,52;370.769.837
  24.04.2018;23.935,50;24.073,69;23.933,99;24.035,49;445.777.678
  25.04.2018;23.932,83;24.023,78;23.680,22;23.801,20;439.153.384
  26.04.2018;23.853,39;24.039,63;23.800,82;24.039,63;378.241.190
  27.04.2018;23.997,75;24.048,31;23.801,38;23.927,61;343.210.407
  30.04.2018;23.938,73;24.012,83;23.823,37;23.979,37;331.123.572
  02.05.2018;24.014,71;24.305,64;23.999,23;24.265,61;453.311.605
  03.05.2018;24.229,29;24.269,53;24.026,56;24.064,46;350.656.029
  04.05.2018;24.174,63;24.335,02;24.143,56;24.335,02;536.962.446
  07.05.2018;24.355,16;24.544,26;24.274,65;24.544,26;389.976.133
  08.05.2018;24.488,45;24.512,30;23.950,89;24.142,54;643.627.072
  09.05.2018;24.218,09;24.419,35;24.209,21;24.266,56;456.817.334
  10.05.2018;24.279,55;24.329,05;23.871,01;24.033,90;572.688.902
  11.05.2018;24.123,38;24.171,43;23.969,76;24.159,34;422.737.084
  14.05.2018;24.159,85;24.221,47;23.959,61;24.221,47;282.177.549
  15.05.2018;24.143,55;24.359,66;24.141,62;24.297,17;450.150.700
  16.05.2018;24.175,74;24.220,63;23.616,91;23.734,22;755.508.159
  17.05.2018;23.830,61;23.985,03;23.612,53;23.801,99;555.272.889
  18.05.2018;23.918,60;23.920,97;23.384,19;23.449,65;729.168.155
  21.05.2018;23.082,63;23.427,55;22.951,98;23.092,38;533.922.884
  22.05.2018;23.135,48;23.298,45;23.024,29;23.216,57;520.711.900
  23.05.2018;23.061,29;23.061,29;22.754,48;22.911,71;447.990.480
  24.05.2018;22.990,36;23.141,84;22.627,00;22.749,08;449.152.070
  25.05.2018;22.794,71;22.827,57;22.205,05;22.398,15;634.563.295
  28.05.2018;22.634,77;22.855,69;21.797,16;21.932,69;640.238.594
  29.05.2018;21.554,16;21.665,53;21.122,51;21.350,88;967.302.045
