Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;654,02;658,91;653,06;658,91;0
  03.01.2018;657,73;663,87;656,95;663,87;0
  04.01.2018;664,10;669,21;664,10;666,96;0
  05.01.2018;664,96;669,74;663,00;665,73;0
  08.01.2018;666,06;669,95;666,06;669,09;0
  09.01.2018;669,09;669,09;664,54;665,39;0
  10.01.2018;665,69;667,03;663,81;667,03;0
  11.01.2018;667,03;667,79;663,65;664,12;0
  12.01.2018;664,98;666,68;664,33;664,82;0
  15.01.2018;664,82;665,19;663,08;664,03;0
  16.01.2018;665,27;667,09;663,41;667,09;0
  17.01.2018;667,39;667,71;663,25;663,29;0
  18.01.2018;663,97;665,63;662,71;664,89;0
  19.01.2018;664,89;666,65;664,39;664,72;0
  22.01.2018;663,65;667,93;663,65;667,75;0
  23.01.2018;668,71;669,04;663,47;666,98;0
  24.01.2018;666,37;669,36;666,36;668,80;0
  25.01.2018;668,80;712,56;668,04;712,56;0
  26.01.2018;712,47;722,33;712,47;722,03;0
  29.01.2018;722,33;728,71;722,33;728,69;0
  30.01.2018;727,49;730,99;725,99;729,73;0
  31.01.2018;729,49;729,60;685,85;685,85;0
  01.02.2018;683,59;687,61;683,14;687,61;0
  02.02.2018;687,75;689,96;684,06;686,49;0
  05.02.2018;683,91;683,91;675,68;675,75;0
  06.02.2018;666,57;666,57;653,48;658,31;0
  07.02.2018;660,60;668,00;659,84;665,65;0
  08.02.2018;667,44;674,63;667,44;673,62;0
  09.02.2018;665,03;666,39;660,73;663,82;0
  12.02.2018;665,53;672,12;665,53;672,12;0
  13.02.2018;672,11;673,56;669,18;673,29;0
  14.02.2018;673,29;673,90;672,36;672,36;0
  15.02.2018;672,36;676,35;672,36;674,28;0
  19.02.2018;675,93;677,15;672,87;673,98;0
  20.02.2018;673,00;674,40;670,22;670,48;0
  21.02.2018;670,82;671,13;668,71;668,82;0
  22.02.2018;668,98;668,98;666,17;668,15;0
  23.02.2018;667,66;669,61;667,66;669,61;0
  26.02.2018;669,72;673,61;668,46;673,61;0
  27.02.2018;673,39;675,99;672,92;675,88;0
  28.02.2018;675,81;683,94;673,68;683,94;0
  01.03.2018;682,44;682,69;679,03;679,77;0
  02.03.2018;679,62;679,62;675,51;677,33;0
  05.03.2018;675,10;678,10;674,79;677,81;0
  06.03.2018;677,81;681,50;674,77;681,50;0
  07.03.2018;681,19;684,05;680,57;684,00;0
  08.03.2018;684,56;686,73;683,62;683,62;0
  09.03.2018;684,76;685,75;682,68;684,53;0
  12.03.2018;684,83;685,50;682,06;684,42;0
  13.03.2018;684,58;684,58;682,07;682,83;0
  14.03.2018;684,13;686,05;684,04;684,04;0
  15.03.2018;684,08;686,70;683,46;686,26;0
  16.03.2018;684,05;686,51;683,74;686,18;0
  19.03.2018;685,82;688,23;685,31;685,76;0
  20.03.2018;685,59;687,24;684,37;687,22;0
  21.03.2018;687,22;696,04;686,39;695,17;0
  22.03.2018;696,26;697,66;694,15;695,43;0
  23.03.2018;690,45;691,10;684,74;688,95;0
  26.03.2018;688,95;689,37;685,03;688,23;0
  27.03.2018;690,07;693,02;690,07;692,05;0
  28.03.2018;692,61;695,67;691,55;695,62;0
  29.03.2018;699,70;703,34;699,30;702,25;0
  03.04.2018;703,59;709,11;703,30;708,74;0
  04.04.2018;707,36;707,36;702,49;705,08;0
  05.04.2018;706,53;707,14;704,41;707,11;0
  06.04.2018;707,46;707,46;703,87;705,15;0
  09.04.2018;706,07;706,07;699,96;702,25;0
  10.04.2018;700,57;702,77;698,55;702,77;0
  11.04.2018;702,77;703,03;700,30;701,51;0
  12.04.2018;703,99;708,10;703,24;706,76;0
  13.04.2018;707,48;707,48;701,86;703,22;0
  16.04.2018;702,94;705,25;701,60;705,25;0
  17.04.2018;705,13;705,13;701,59;702,59;0
  18.04.2018;702,59;702,59;702,59;702,59;0
  19.04.2018;703,97;706,08;702,28;706,04;0
  20.04.2018;705,16;709,65;705,16;706,20;0
  23.04.2018;707,06;707,06;704,94;704,94;0
  24.04.2018;704,59;704,59;701,53;703,79;0
  25.04.2018;703,79;703,79;698,98;699,97;0
  26.04.2018;701,97;703,02;700,12;700,57;0
  27.04.2018;700,93;704,63;700,93;702,05;0
  30.04.2018;702,05;706,57;701,85;704,70;0
  02.05.2018;703,24;705,19;700,75;705,19;0
  03.05.2018;705,54;706,78;705,11;706,78;0
  04.05.2018;706,77;708,16;704,15;706,80;0
  07.05.2018;711,22;711,98;705,59;708,27;0
  08.05.2018;708,15;710,02;703,83;707,67;0
  09.05.2018;711,06;711,57;705,82;708,34;0
  11.05.2018;713,28;714,16;709,80;710,90;0
  14.05.2018;711,37;711,92;709,87;709,87;0
  15.05.2018;709,61;714,37;709,23;713,18;0
  16.05.2018;713,03;713,10;707,72;708,16;0
  17.05.2018;707,98;712,61;707,98;710,89;0
  18.05.2018;711,15;712,63;709,89;709,89;0
  21.05.2018;709,76;709,85;707,13;708,42;0
  22.05.2018;708,46;711,00;707,10;710,26;0
  23.05.2018;710,26;710,72;707,31;707,98;0
  24.05.2018;708,04;712,61;707,38;712,30;0
  25.05.2018;712,18;712,48;710,22;711,30;0
  28.05.2018;711,91;712,79;710,00;710,92;0
  29.05.2018;710,56;713,95;710,55;713,95;0
  30.05.2018;713,59;713,59;710,74;712,26;0
  31.05.2018;712,08;716,20;711,11;711,11;0
  01.06.2018;713,41;713,41;708,82;712,83;0
  04.06.2018;713,12;713,39;709,83;710,02;0
  05.06.2018;710,02;710,94;707,74;709,71;0
  06.06.2018;709,35;713,28;709,33;711,76;0
  07.06.2018;710,90;710,90;708,34;710,11;0
  08.06.2018;708,25;711,74;707,54;711,56;0
  11.06.2018;713,60;715,52;711,01;711,93;0
  12.06.2018;712,44;713,54;712,19;712,82;0
  13.06.2018;712,71;714,87;712,42;713,32;0
  14.06.2018;713,33;716,32;713,33;715,22;0
  15.06.2018;715,31;716,09;714,84;715,82;0
  18.06.2018;716,42;716,80;714,49;715,82;0
  19.06.2018;715,35;716,04;713,34;713,71;0
  20.06.2018;714,56;714,86;711,74;712,11;0
  21.06.2018;712,15;713,38;711,65;711,65;0
  22.06.2018;711,10;711,86;710,65;711,86;0
  25.06.2018;711,71;711,82;710,01;711,11;0
  26.06.2018;709,40;712,95;709,40;712,92;0
  27.06.2018;713,17;713,17;710,76;710,76;0
  28.06.2018;712,71;712,71;708,54;710,67;0
  29.06.2018;709,85;710,11;708,34;709,94;0
  02.07.2018;709,06;710,79;708,30;710,46;0
  03.07.2018;710,54;710,54;707,44;708,25;0
  04.07.2018;707,28;708,53;706,63;708,53;0
  05.07.2018;708,53;709,09;707,39;707,77;0
  09.07.2018;708,32;710,06;707,77;709,00;0
  10.07.2018;709,32;709,78;708,26;709,53;0
  11.07.2018;708,84;709,13;707,05;708,60;0
  12.07.2018;710,75;710,86;708,54;710,81;0
  13.07.2018;710,32;714,43;709,34;714,42;0
  16.07.2018;714,16;717,45;712,31;716,19;0
  17.07.2018;716,23;716,66;712,79;716,34;0
  18.07.2018;714,75;716,11;712,45;713,50;0
  19.07.2018;713,50;714,82;711,16;714,72;0
  20.07.2018;714,49;717,10;714,23;714,52;0
  23.07.2018;714,05;715,16;712,45;714,06;0
  24.07.2018;714,35;715,21;712,86;714,26;0
  25.07.2018;714,71;715,31;713,39;715,30;0
  26.07.2018;715,48;716,79;714,67;715,46;0
  27.07.2018;715,57;716,83;714,30;716,83;0
  30.07.2018;716,61;716,72;713,92;714,67;0
  31.07.2018;714,92;717,69;714,63;717,32;0
  01.08.2018;714,87;718,35;713,91;715,54;0
  02.08.2018;715,53;717,19;714,55;716,50;0
  03.08.2018;715,50;715,56;711,71;715,37;0
  06.08.2018;716,06;716,77;713,14;713,71;0
  07.08.2018;714,07;717,60;713,88;714,02;0
  08.08.2018;714,70;715,23;711,95;713,26;0
  09.08.2018;712,29;713,35;710,99;711,36;0
  10.08.2018;713,23;713,28;710,18;712,83;0
  13.08.2018;712,27;713,25;711,31;713,13;0
  14.08.2018;713,01;714,84;709,61;710,31;0
  16.08.2018;710,79;712,70;709,65;712,08;0
  17.08.2018;712,28;713,12;709,09;709,57;0
  20.08.2018;710,55;711,10;708,15;710,06;0
  21.08.2018;710,40;710,40;707,24;708,75;0
