Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;545,24;545,38;540,34;544,79;66.574.078
  03.01.2018;546,46;551,02;546,10;549,34;96.585.478
  04.01.2018;551,37;555,00;550,91;554,06;97.462.889
  05.01.2018;554,59;558,16;554,17;558,16;79.067.999
  08.01.2018;559,82;561,32;559,53;560,89;68.960.023
  09.01.2018;562,24;563,31;561,24;563,04;106.526.244
  10.01.2018;562,17;563,30;559,16;560,44;113.203.135
  11.01.2018;561,33;561,33;557,83;558,89;103.177.632
  12.01.2018;559,99;561,10;557,93;561,10;87.556.106
  15.01.2018;561,50;562,23;559,86;561,06;56.554.897
  16.01.2018;561,70;562,70;560,26;561,18;75.003.930
  17.01.2018;561,72;564,09;561,33;563,28;88.390.197
  18.01.2018;565,88;566,49;564,15;566,49;89.390.423
  19.01.2018;565,67;570,27;565,54;569,30;84.268.107
  22.01.2018;569,08;570,90;568,86;570,82;76.335.063
  23.01.2018;572,75;572,81;569,26;570,60;92.641.514
  24.01.2018;570,04;570,44;566,04;566,04;79.872.098
  25.01.2018;564,80;569,21;563,35;565,07;84.405.552
  26.01.2018;565,00;567,70;564,40;566,79;61.193.444
  29.01.2018;567,58;567,58;565,08;566,06;66.835.668
  30.01.2018;563,23;564,76;559,88;561,00;92.433.553
  31.01.2018;560,43;562,08;559,15;560,52;107.534.457
  01.02.2018;563,02;563,54;555,84;556,87;90.891.171
  02.02.2018;555,70;555,70;549,95;550,08;87.936.991
  05.02.2018;544,07;545,16;540,77;542,65;87.401.773
  06.02.2018;523,19;533,60;522,20;526,18;148.063.407
  07.02.2018;533,73;537,72;529,52;536,36;119.469.513
  08.02.2018;532,94;533,87;524,21;526,12;103.252.142
  09.02.2018;522,97;525,40;515,96;518,33;136.516.327
  12.02.2018;524,30;526,57;521,61;524,10;79.203.454
  13.02.2018;524,78;525,27;520,57;520,57;72.803.653
  14.02.2018;523,98;527,48;518,05;525,64;101.504.232
  15.02.2018;528,06;529,43;525,58;527,57;102.458.183
  16.02.2018;530,72;533,00;529,96;532,27;86.922.502
  19.02.2018;533,79;533,79;527,85;528,76;50.979.814
  20.02.2018;528,68;533,33;528,02;532,93;63.725.407
  21.02.2018;531,46;534,47;529,54;533,95;53.513.880
  22.02.2018;530,11;533,51;528,37;532,64;61.013.992
  23.02.2018;533,68;534,58;531,23;534,09;53.916.959
