Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  03.01.2018;63.802,87;63.802,87;63.802,87;63.802,87;0
  04.01.2018;65.119,55;65.119,55;65.119,55;65.119,55;0
  05.01.2018;65.236,46;65.236,46;65.236,46;65.236,46;0
  08.01.2018;65.758,91;65.758,91;65.758,91;65.758,91;0
  09.01.2018;65.341,22;65.341,22;65.341,22;65.341,22;0
  10.01.2018;64.803,87;64.803,87;64.803,87;64.803,87;0
  11.01.2018;65.214,66;65.214,66;65.214,66;65.214,66;0
  12.01.2018;65.408,41;65.408,41;65.408,41;65.408,41;0
  15.01.2018;65.407,55;65.407,55;65.407,55;65.407,55;0
  16.01.2018;66.406,95;66.406,95;66.406,95;66.406,95;0
  17.01.2018;66.611,24;66.611,24;66.611,24;66.611,24;0
  18.01.2018;66.735,80;66.735,80;66.735,80;66.735,80;0
  19.01.2018;66.868,84;66.868,84;66.868,84;66.868,84;0
  22.01.2018;67.261,02;67.261,02;67.261,02;67.261,02;0
  23.01.2018;67.343,08;67.343,08;67.343,08;67.343,08;0
  24.01.2018;67.291,05;67.291,05;67.291,05;67.291,05;0
  25.01.2018;66.578,84;66.578,84;66.578,84;66.578,84;0
  26.01.2018;66.708,32;66.708,32;66.708,32;66.708,32;0
  29.01.2018;66.602,94;66.602,94;66.602,94;66.602,94;0
  30.01.2018;65.991,00;65.991,00;65.991,00;65.991,00;0
  31.01.2018;66.083,93;66.083,93;66.083,93;66.083,93;0
  01.02.2018;65.351,96;65.351,96;65.351,96;65.351,96;0
  02.02.2018;65.074,05;65.074,05;65.074,05;65.074,05;0
  05.02.2018;64.654,04;64.654,04;64.654,04;64.654,04;0
  06.02.2018;62.474,21;62.474,21;62.474,21;62.474,21;0
  07.02.2018;63.141,16;63.141,16;63.141,16;63.141,16;0
  08.02.2018;62.813,24;62.813,24;62.813,24;62.813,24;0
  09.02.2018;62.050,18;62.050,18;62.050,18;62.050,18;0
  12.02.2018;62.633,61;62.633,61;62.633,61;62.633,61;0
  13.02.2018;62.942,93;62.942,93;62.942,93;62.942,93;0
  14.02.2018;63.400,65;63.400,65;63.400,65;63.400,65;0
  15.02.2018;63.392,16;63.392,16;63.392,16;63.392,16;0
  16.02.2018;62.724,13;62.724,13;62.724,13;62.724,13;0
  19.02.2018;62.796,05;62.796,05;62.796,05;62.796,05;0
  20.02.2018;62.651,61;62.651,61;62.651,61;62.651,61;0
  21.02.2018;62.463,14;62.463,14;62.463,14;62.463,14;0
  22.02.2018;62.628,78;62.628,78;62.628,78;62.628,78;0
  23.02.2018;62.484,43;62.484,43;62.484,43;62.484,43;0
  26.02.2018;62.720,19;62.720,19;62.720,19;62.720,19;0
  27.02.2018;62.871,56;62.871,56;62.871,56;62.871,56;0
  28.02.2018;61.890,89;61.890,89;61.890,89;61.890,89;0
  01.03.2018;61.258,27;61.258,27;61.258,27;61.258,27;0
  02.03.2018;60.642,41;60.642,41;60.642,41;60.642,41;0
  05.03.2018;60.762,09;60.762,09;60.762,09;60.762,09;0
  06.03.2018;61.090,38;61.090,38;61.090,38;61.090,38;0
  07.03.2018;61.658,17;61.658,17;61.658,17;61.658,17;0
  08.03.2018;61.057,07;61.057,07;61.057,07;61.057,07;0
  09.03.2018;61.474,39;61.474,39;61.474,39;61.474,39;0
  12.03.2018;62.188,70;62.188,70;62.188,70;62.188,70;0
  13.03.2018;61.722,38;61.722,38;61.722,38;61.722,38;0
  14.03.2018;61.333,08;61.333,08;61.333,08;61.333,08;0
  15.03.2018;61.227,44;61.227,44;61.227,44;61.227,44;0
  16.03.2018;60.306,45;60.306,45;60.306,45;60.306,45;0
  19.03.2018;59.638,75;59.638,75;59.638,75;59.638,75;0
  20.03.2018;59.961,13;59.961,13;59.961,13;59.961,13;0
  21.03.2018;60.874,43;60.874,43;60.874,43;60.874,43;0
  22.03.2018;59.820,33;59.820,33;59.820,33;59.820,33;0
  23.03.2018;59.350,90;59.350,90;59.350,90;59.350,90;0
  26.03.2018;59.078,62;59.078,62;59.078,62;59.078,62;0
  27.03.2018;59.155,81;59.155,81;59.155,81;59.155,81;0
  28.03.2018;58.302,50;58.302,50;58.302,50;58.302,50;0
  29.03.2018;58.467,08;58.467,08;58.467,08;58.467,08;0
  03.04.2018;58.908,92;58.908,92;58.908,92;58.908,92;0
  04.04.2018;58.293,80;58.293,80;58.293,80;58.293,80;0
  05.04.2018;59.178,84;59.178,84;59.178,84;59.178,84;0
  06.04.2018;59.533,08;59.533,08;59.533,08;59.533,08;0
  09.04.2018;59.531,60;59.531,60;59.531,60;59.531,60;0
  10.04.2018;59.787,07;59.787,07;59.787,07;59.787,07;0
  11.04.2018;59.762,84;59.762,84;59.762,84;59.762,84;0
  12.04.2018;60.374,85;60.374,85;60.374,85;60.374,85;0
  13.04.2018;60.410,26;60.410,26;60.410,26;60.410,26;0
  16.04.2018;60.208,37;60.208,37;60.208,37;60.208,37;0
  17.04.2018;60.186,06;60.186,06;60.186,06;60.186,06;0
  18.04.2018;60.328,30;60.328,30;60.328,30;60.328,30;0
  19.04.2018;60.688,30;60.688,30;60.688,30;60.688,30;0
  20.04.2018;60.335,94;60.335,94;60.335,94;60.335,94;0
  23.04.2018;60.103,43;60.103,43;60.103,43;60.103,43;0
  24.04.2018;59.621,09;59.621,09;59.621,09;59.621,09;0
  25.04.2018;59.226,64;59.226,64;59.226,64;59.226,64;0
  26.04.2018;59.614,53;59.614,53;59.614,53;59.614,53;0
  27.04.2018;59.487,34;59.487,34;59.487,34;59.487,34;0
  30.04.2018;59.918,39;59.918,39;59.918,39;59.918,39;0
  02.05.2018;60.001,31;60.001,31;60.001,31;60.001,31;0
  04.05.2018;58.960,29;58.960,29;58.960,29;58.960,29;0
  07.05.2018;58.562,24;58.562,24;58.562,24;58.562,24;0
  08.05.2018;58.810,07;58.810,07;58.810,07;58.810,07;0
  09.05.2018;59.694,81;59.694,81;59.694,81;59.694,81;0
  10.05.2018;60.202,39;60.202,39;60.202,39;60.202,39;0
  11.05.2018;60.721,44;60.721,44;60.721,44;60.721,44;0
  14.05.2018;60.660,10;60.660,10;60.660,10;60.660,10;0
  15.05.2018;59.719,67;59.719,67;59.719,67;59.719,67;0
  16.05.2018;59.654,50;59.654,50;59.654,50;59.654,50;0
  17.05.2018;59.688,40;59.688,40;59.688,40;59.688,40;0
  18.05.2018;58.797,98;58.797,98;58.797,98;58.797,98;0
  21.05.2018;59.361,47;59.361,47;59.361,47;59.361,47;0
  22.05.2018;58.975,46;58.975,46;58.975,46;58.975,46;0
  23.05.2018;58.173,31;58.173,31;58.173,31;58.173,31;0
  24.05.2018;58.113,51;58.113,51;58.113,51;58.113,51;0
  25.05.2018;58.177,91;58.177,91;58.177,91;58.177,91;0
  28.05.2018;58.195,25;58.195,25;58.195,25;58.195,25;0
  29.05.2018;57.790,38;57.790,38;57.790,38;57.790,38;0
  30.05.2018;57.157,58;57.157,58;57.157,58;57.157,58;0
  01.06.2018;57.805,26;57.805,26;57.805,26;57.805,26;0
  04.06.2018;58.166,36;58.166,36;58.166,36;58.166,36;0
  05.06.2018;58.890,15;58.890,15;58.890,15;58.890,15;0
  06.06.2018;59.002,04;59.002,04;59.002,04;59.002,04;0
  07.06.2018;59.291,65;59.291,65;59.291,65;59.291,65;0
  08.06.2018;59.084,62;59.084,62;59.084,62;59.084,62;0
  11.06.2018;58.779,83;58.779,83;58.779,83;58.779,83;0
  12.06.2018;58.953,67;58.953,67;58.953,67;58.953,67;0
  13.06.2018;58.679,30;58.679,30;58.679,30;58.679,30;0
  14.06.2018;58.655,00;58.655,00;58.655,00;58.655,00;0
  15.06.2018;57.920,89;57.920,89;57.920,89;57.920,89;0
  18.06.2018;56.636,52;56.636,52;56.636,52;56.636,52;0
  19.06.2018;55.763,93;55.763,93;55.763,93;55.763,93;0
  20.06.2018;56.696,40;56.696,40;56.696,40;56.696,40;0
  21.06.2018;56.344,49;56.344,49;56.344,49;56.344,49;0
  22.06.2018;56.564,45;56.564,45;56.564,45;56.564,45;0
  25.06.2018;56.502,08;56.502,08;56.502,08;56.502,08;0
  26.06.2018;56.306,98;56.306,98;56.306,98;56.306,98;0
  27.06.2018;56.128,21;56.128,21;56.128,21;56.128,21;0
  28.06.2018;55.158,85;55.158,85;55.158,85;55.158,85;0
  29.06.2018;55.844,41;55.844,41;55.844,41;55.844,41;0
  04.07.2018;56.773,98;56.773,98;56.773,98;56.773,98;0
  05.07.2018;56.734,46;56.734,46;56.734,46;56.734,46;0
  06.07.2018;56.546,81;56.546,81;56.546,81;56.546,81;0
  09.07.2018;56.423,98;56.423,98;56.423,98;56.423,98;0
  10.07.2018;57.019,68;57.019,68;57.019,68;57.019,68;0
  11.07.2018;56.615,00;56.615,00;56.615,00;56.615,00;0
  12.07.2018;56.733,28;56.733,28;56.733,28;56.733,28;0
  13.07.2018;56.509,33;56.509,33;56.509,33;56.509,33;0
  16.07.2018;56.301,78;56.301,78;56.301,78;56.301,78;0
  17.07.2018;56.484,20;56.484,20;56.484,20;56.484,20;0
  18.07.2018;56.284,31;56.284,31;56.284,31;56.284,31;0
  19.07.2018;56.443,51;56.443,51;56.443,51;56.443,51;0
  20.07.2018;57.217,82;57.217,82;57.217,82;57.217,82;0
  23.07.2018;57.851,13;57.851,13;57.851,13;57.851,13;0
  24.07.2018;58.607,38;58.607,38;58.607,38;58.607,38;0
  25.07.2018;59.020,70;59.020,70;59.020,70;59.020,70;0
  26.07.2018;59.819,11;59.819,11;59.819,11;59.819,11;0
  27.07.2018;59.612,25;59.612,25;59.612,25;59.612,25;0
  30.07.2018;60.270,05;60.270,05;60.270,05;60.270,05;0
  31.07.2018;59.845,53;59.845,53;59.845,53;59.845,53;0
  01.08.2018;60.041,71;60.041,71;60.041,71;60.041,71;0
  02.08.2018;59.472,03;59.472,03;59.472,03;59.472,03;0
  03.08.2018;59.515,48;59.515,48;59.515,48;59.515,48;0
