Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;5.405,83;5.469,60;5.399,61;5.469,60;96.412.700
  03.01.2018;5.483,29;5.549,14;5.482,45;5.537,97;153.470.249
  04.01.2018;5.573,38;5.624,86;5.569,84;5.622,72;158.683.401
  05.01.2018;5.628,10;5.639,00;5.610,44;5.615,63;111.350.910
  08.01.2018;5.634,54;5.657,77;5.629,60;5.645,53;98.125.943
  09.01.2018;5.666,23;5.702,94;5.654,24;5.654,24;103.583.708
  10.01.2018;5.651,65;5.674,88;5.641,83;5.657,95;74.460.356
  11.01.2018;5.659,70;5.668,56;5.630,69;5.644,26;65.197.178
  12.01.2018;5.665,13;5.665,13;5.611,93;5.623,41;85.636.608
  15.01.2018;5.637,64;5.640,18;5.596,98;5.620,95;55.983.518
  16.01.2018;5.620,85;5.672,51;5.607,65;5.613,58;82.094.010
  17.01.2018;5.618,13;5.630,68;5.589,98;5.618,69;58.476.347
  18.01.2018;5.633,31;5.673,68;5.613,52;5.671,54;92.245.185
  19.01.2018;5.663,39;5.692,12;5.651,24;5.689,05;77.717.012
  22.01.2018;5.693,88;5.749,16;5.691,11;5.744,83;118.800.094
  23.01.2018;5.777,42;5.793,14;5.760,02;5.791,88;144.787.798
  24.01.2018;5.786,63;5.789,54;5.750,09;5.752,26;104.453.609
  25.01.2018;5.751,38;5.779,67;5.751,16;5.766,67;94.311.837
  26.01.2018;5.776,86;5.793,38;5.765,28;5.768,48;64.230.821
  29.01.2018;5.773,56;5.774,20;5.717,56;5.730,22;77.808.805
  30.01.2018;5.707,47;5.712,94;5.668,58;5.692,40;68.501.119
  31.01.2018;5.698,51;5.710,82;5.663,44;5.663,44;61.644.450
  01.02.2018;5.666,21;5.667,97;5.606,09;5.606,88;100.053.404
  02.02.2018;5.608,64;5.609,08;5.515,04;5.516,87;84.487.351
  05.02.2018;5.486,76;5.486,76;5.404,66;5.405,31;88.299.097
  06.02.2018;5.248,92;5.379,46;5.248,92;5.326,25;103.699.567
  07.02.2018;5.418,04;5.454,39;5.381,00;5.441,08;99.233.235
  08.02.2018;5.440,96;5.440,96;5.371,36;5.377,99;85.251.620
  09.02.2018;5.328,12;5.341,25;5.254,88;5.294,90;83.323.583
  12.02.2018;5.339,28;5.405,14;5.334,91;5.373,37;82.132.353
  13.02.2018;5.410,81;5.414,95;5.356,37;5.365,45;49.830.573
  14.02.2018;5.397,15;5.426,50;5.362,22;5.420,61;72.469.874
  15.02.2018;5.476,14;5.530,84;5.440,83;5.463,89;152.277.977
  16.02.2018;5.497,44;5.540,32;5.474,17;5.505,43;74.868.729
  19.02.2018;5.516,79;5.524,50;5.423,06;5.435,65;60.990.736
  20.02.2018;5.412,91;5.460,27;5.400,37;5.448,81;61.128.298
  21.02.2018;5.424,34;5.486,62;5.415,28;5.468,18;45.330.632
  22.02.2018;5.416,55;5.465,34;5.415,94;5.450,52;44.390.890
  23.02.2018;5.451,89;5.482,98;5.444,25;5.469,91;51.811.409
  26.02.2018;5.485,36;5.524,85;5.466,81;5.476,74;55.172.531
  27.02.2018;5.493,30;5.493,78;5.427,14;5.468,05;62.264.825
  28.02.2018;5.445,40;5.508,74;5.409,47;5.468,21;74.842.994
  01.03.2018;5.454,71;5.454,90;5.342,11;5.376,33;100.433.225
  02.03.2018;5.340,75;5.367,16;5.280,67;5.367,16;382.705.978
  05.03.2018;5.341,77;5.407,77;5.323,56;5.365,66;171.705.838
  06.03.2018;5.395,71;5.415,60;5.348,50;5.354,25;92.172.685
  07.03.2018;5.331,88;5.366,85;5.319,38;5.339,43;95.387.787
  08.03.2018;5.366,80;5.431,21;5.347,77;5.395,13;94.518.032
  09.03.2018;5.410,58;5.423,92;5.389,78;5.423,80;70.549.772
  12.03.2018;5.468,77;5.469,89;5.424,81;5.438,37;85.660.875
  13.03.2018;5.448,89;5.473,39;5.419,84;5.425,62;105.304.833
