Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;10.089,60;10.097,90;10.017,00;10.079,10;145.682.225
  03.01.2018;10.101,40;10.145,20;10.083,60;10.116,00;135.939.153
  04.01.2018;10.154,60;10.325,00;10.151,00;10.314,40;187.395.098
  05.01.2018;10.343,10;10.411,40;10.343,10;10.411,40;144.358.595
  08.01.2018;10.439,80;10.456,90;10.398,40;10.398,40;133.477.362
  09.01.2018;10.400,90;10.461,90;10.385,60;10.426,50;130.655.968
  10.01.2018;10.423,20;10.474,90;10.399,10;10.428,30;209.280.527
  11.01.2018;10.435,90;10.475,00;10.401,20;10.435,20;207.622.447
  12.01.2018;10.463,70;10.492,20;10.443,40;10.462,40;153.062.192
  15.01.2018;10.471,60;10.493,70;10.446,90;10.467,20;110.933.654
  16.01.2018;10.479,00;10.572,90;10.466,20;10.520,40;158.068.159
  17.01.2018;10.475,60;10.504,90;10.441,20;10.474,60;142.508.855
  18.01.2018;10.500,10;10.509,20;10.403,20;10.432,70;122.046.139
  19.01.2018;10.417,50;10.500,10;10.396,20;10.479,50;140.993.667
  22.01.2018;10.503,60;10.601,90;10.488,30;10.584,00;177.990.130
  23.01.2018;10.640,30;10.643,40;10.583,70;10.609,50;166.472.810
  24.01.2018;10.595,30;10.617,20;10.563,00;10.563,00;128.452.174
  25.01.2018;10.564,60;10.630,50;10.559,70;10.595,30;181.646.492
  26.01.2018;10.598,60;10.635,10;10.563,20;10.595,40;135.086.689
  29.01.2018;10.605,50;10.605,70;10.540,00;10.555,60;149.130.775
  30.01.2018;10.481,90;10.506,40;10.416,20;10.428,20;179.297.275
  31.01.2018;10.436,40;10.482,70;10.422,10;10.451,50;185.851.900
  01.02.2018;10.518,30;10.543,70;10.359,40;10.399,00;194.536.619
  02.02.2018;10.359,30;10.369,20;10.205,30;10.211,20;201.140.244
  05.02.2018;10.138,40;10.173,80;10.058,50;10.064,50;192.416.357
  06.02.2018;9.794,90;9.967,30;9.721,50;9.810,00;300.424.088
  07.02.2018;9.950,80;9.988,50;9.811,70;9.976,90;232.075.996
  08.02.2018;9.928,50;9.959,80;9.726,50;9.756,30;225.748.166
  09.02.2018;9.710,90;9.752,20;9.581,10;9.639,60;253.360.797
  12.02.2018;9.760,10;9.815,20;9.731,00;9.771,10;166.612.915
  13.02.2018;9.788,50;9.797,40;9.650,70;9.650,70;162.844.865
  14.02.2018;9.715,70;9.743,90;9.595,90;9.686,20;176.427.454
  15.02.2018;9.770,70;9.832,10;9.674,90;9.714,90;163.652.249
  16.02.2018;9.785,20;9.839,70;9.768,70;9.832,10;187.571.194
  19.02.2018;9.865,10;9.905,40;9.797,20;9.806,20;121.553.548
  20.02.2018;9.806,90;9.901,10;9.806,90;9.895,30;151.840.806
