Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;1.577,07;1.583,38;1.573,76;1.579,81;0
  03.01.2018;1.580,20;1.591,10;1.577,60;1.587,56;0
  04.01.2018;1.587,87;1.606,71;1.587,87;1.603,67;0
  05.01.2018;1.604,08;1.611,30;1.604,08;1.611,30;0
  08.01.2018;1.612,98;1.622,41;1.612,98;1.619,13;0
  09.01.2018;1.618,89;1.633,95;1.618,89;1.632,28;0
  10.01.2018;1.631,77;1.631,91;1.621,85;1.629,29;0
  11.01.2018;1.629,74;1.632,89;1.620,51;1.630,28;0
  12.01.2018;1.630,99;1.634,57;1.621,24;1.628,39;0
  15.01.2018;1.628,39;1.630,22;1.622,92;1.627,28;0
  16.01.2018;1.626,79;1.630,01;1.620,45;1.623,32;0
  17.01.2018;1.623,04;1.629,66;1.614,45;1.622,85;0
  18.01.2018;1.623,18;1.630,53;1.619,88;1.624,77;0
  19.01.2018;1.624,12;1.631,62;1.623,63;1.630,61;0
  22.01.2018;1.631,14;1.639,05;1.628,69;1.635,46;0
  23.01.2018;1.636,76;1.647,69;1.636,76;1.643,71;0
  24.01.2018;1.644,24;1.645,06;1.629,97;1.631,19;0
  25.01.2018;1.630,00;1.630,00;1.600,89;1.604,48;0
  26.01.2018;1.606,60;1.614,60;1.601,72;1.612,62;0
  29.01.2018;1.611,90;1.620,45;1.608,50;1.610,39;0
  30.01.2018;1.609,69;1.612,24;1.602,29;1.603,31;0
  31.01.2018;1.605,43;1.613,16;1.592,39;1.593,15;0
  01.02.2018;1.596,00;1.610,27;1.596,00;1.601,84;0
  02.02.2018;1.601,76;1.602,01;1.581,03;1.584,79;0
  05.02.2018;1.581,69;1.581,69;1.545,55;1.546,33;0
  06.02.2018;1.535,28;1.535,28;1.487,95;1.511,59;0
  07.02.2018;1.513,57;1.555,28;1.513,57;1.551,14;0
  08.02.2018;1.550,43;1.550,43;1.519,76;1.519,76;0
  09.02.2018;1.518,68;1.523,45;1.499,74;1.500,18;0
  12.02.2018;1.501,50;1.531,85;1.501,50;1.521,62;0
  13.02.2018;1.522,13;1.527,17;1.513,23;1.513,26;0
  14.02.2018;1.516,33;1.533,70;1.503,37;1.532,15;0
  15.02.2018;1.533,29;1.550,27;1.533,29;1.542,72;0
  16.02.2018;1.545,46;1.557,29;1.545,46;1.556,93;0
  19.02.2018;1.558,37;1.562,46;1.549,00;1.550,86;0
  20.02.2018;1.550,90;1.570,35;1.550,90;1.569,67;0
  21.02.2018;1.569,32;1.577,74;1.557,71;1.575,12;0
  22.02.2018;1.573,36;1.575,16;1.556,50;1.573,88;0
  23.02.2018;1.574,50;1.580,13;1.567,94;1.577,11;0
  26.02.2018;1.578,87;1.591,59;1.578,87;1.586,95;0
  27.02.2018;1.588,20;1.595,35;1.583,52;1.588,23;0
  28.02.2018;1.586,86;1.594,50;1.580,95;1.583,39;0
  01.03.2018;1.583,22;1.583,22;1.560,56;1.560,56;0
  02.03.2018;1.559,49;1.559,49;1.525,37;1.526,46;0
  05.03.2018;1.525,80;1.548,02;1.524,26;1.547,94;0
  06.03.2018;1.551,19;1.569,74;1.551,19;1.559,94;0
  07.03.2018;1.558,49;1.564,19;1.548,00;1.564,18;0
  08.03.2018;1.564,18;1.586,22;1.564,18;1.585,53;0
  09.03.2018;1.586,02;1.592,77;1.580,37;1.589,61;0
  12.03.2018;1.590,88;1.602,26;1.589,17;1.593,82;0
  13.03.2018;1.593,88;1.603,33;1.575,23;1.578,14;0
  14.03.2018;1.578,63;1.598,35;1.578,63;1.585,30;0
  15.03.2018;1.586,05;1.592,28;1.580,18;1.592,28;0
  16.03.2018;1.592,48;1.593,42;1.572,58;1.573,48;0
  19.03.2018;1.573,27;1.573,27;1.545,78;1.547,41;0
  20.03.2018;1.548,87;1.556,06;1.542,30;1.551,97;0
  21.03.2018;1.552,41;1.553,17;1.543,25;1.549,70;0
  22.03.2018;1.547,62;1.547,62;1.508,85;1.515,83;0
  23.03.2018;1.513,47;1.520,65;1.493,12;1.513,18;0
  26.03.2018;1.513,42;1.519,78;1.493,79;1.496,59;0
  27.03.2018;1.496,71;1.517,54;1.495,07;1.510,11;0
  28.03.2018;1.506,31;1.512,13;1.484,13;1.512,13;0
  29.03.2018;1.513,19;1.537,24;1.513,19;1.535,35;0
  03.04.2018;1.533,19;1.533,19;1.504,07;1.508,79;0
  04.04.2018;1.509,30;1.511,69;1.482,21;1.494,64;0
  05.04.2018;1.500,06;1.527,43;1.500,06;1.527,21;0
  06.04.2018;1.526,42;1.526,42;1.508,84;1.511,37;0
  09.04.2018;1.513,24;1.527,56;1.502,45;1.511,31;0
  10.04.2018;1.513,10;1.526,98;1.513,10;1.526,75;0
  11.04.2018;1.526,46;1.526,46;1.498,79;1.504,70;0
  12.04.2018;1.505,76;1.520,85;1.503,85;1.518,88;0
  13.04.2018;1.520,55;1.534,03;1.517,40;1.526,66;0
  16.04.2018;1.526,69;1.533,73;1.524,22;1.526,27;0
  17.04.2018;1.528,52;1.548,49;1.528,52;1.545,16;0
  18.04.2018;1.545,16;1.553,88;1.542,97;1.552,48;0
  19.04.2018;1.551,72;1.563,82;1.551,72;1.558,23;0
  20.04.2018;1.558,39;1.576,98;1.556,89;1.572,58;0
  23.04.2018;1.572,96;1.587,65;1.570,84;1.587,65;0
  24.04.2018;1.587,05;1.593,10;1.571,40;1.575,40;0
  25.04.2018;1.574,01;1.574,01;1.543,25;1.557,29;0
  26.04.2018;1.557,46;1.575,22;1.552,02;1.573,75;0
  27.04.2018;1.574,45;1.583,11;1.571,49;1.580,77;0
  30.04.2018;1.581,72;1.582,19;1.568,68;1.570,70;0
  02.05.2018;1.574,87;1.592,11;1.574,87;1.590,96;0
  03.05.2018;1.591,04;1.591,04;1.564,75;1.566,96;0
  04.05.2018;1.567,39;1.577,81;1.565,60;1.577,08;0
  07.05.2018;1.577,54;1.600,44;1.577,14;1.597,92;0
  08.05.2018;1.598,37;1.608,93;1.591,31;1.608,93;0
  09.05.2018;1.608,64;1.623,03;1.603,05;1.616,80;0
  11.05.2018;1.616,66;1.619,79;1.601,11;1.603,25;0
  14.05.2018;1.603,68;1.607,40;1.593,66;1.598,57;0
  15.05.2018;1.597,83;1.608,47;1.593,16;1.606,71;0
  16.05.2018;1.606,70;1.606,70;1.593,25;1.602,27;0
  17.05.2018;1.602,27;1.618,95;1.602,27;1.618,95;0
  18.05.2018;1.618,12;1.627,13;1.617,85;1.621,61;0
  21.05.2018;1.622,17;1.634,75;1.622,17;1.626,25;0
  22.05.2018;1.627,22;1.632,30;1.617,15;1.624,44;0
  23.05.2018;1.621,90;1.621,90;1.597,76;1.602,09;0
  24.05.2018;1.602,12;1.612,77;1.588,03;1.593,57;0
  25.05.2018;1.594,56;1.603,03;1.584,91;1.586,98;0
  28.05.2018;1.589,01;1.598,35;1.577,42;1.581,52;0
  29.05.2018;1.579,49;1.579,49;1.554,94;1.572,30;0
  30.05.2018;1.572,44;1.574,65;1.559,66;1.562,53;0
  31.05.2018;1.563,68;1.572,41;1.544,83;1.549,94;0
  01.06.2018;1.549,94;1.573,35;1.549,54;1.569,51;0
  04.06.2018;1.570,49;1.578,46;1.561,73;1.564,73;0
  05.06.2018;1.564,42;1.572,11;1.559,05;1.559,05;0
  07.06.2018;1.563,00;1.575,74;1.551,31;1.555,64;0
  08.06.2018;1.554,96;1.562,36;1.542,08;1.555,87;0
  11.06.2018;1.557,68;1.571,23;1.555,78;1.571,18;0
  12.06.2018;1.573,00;1.577,04;1.566,70;1.572,27;0
  13.06.2018;1.573,09;1.575,47;1.563,53;1.571,06;0
  14.06.2018;1.571,44;1.591,65;1.559,39;1.588,00;0
  15.06.2018;1.587,64;1.587,64;1.570,41;1.570,43;0
  18.06.2018;1.569,63;1.569,63;1.550,40;1.561,65;0
  19.06.2018;1.559,99;1.565,61;1.542,37;1.564,87;0
  20.06.2018;1.564,15;1.582,26;1.564,00;1.572,28;0
  21.06.2018;1.572,19;1.576,96;1.548,33;1.549,54;0
  25.06.2018;1.548,96;1.553,11;1.534,47;1.534,65;0
  26.06.2018;1.534,70;1.539,39;1.526,30;1.529,22;0
  27.06.2018;1.528,92;1.550,14;1.514,61;1.540,87;0
  28.06.2018;1.539,78;1.543,24;1.521,24;1.531,65;0
  29.06.2018;1.534,90;1.560,74;1.534,90;1.558,87;0
  02.07.2018;1.557,45;1.557,45;1.533,98;1.540,86;0
  03.07.2018;1.542,15;1.548,78;1.537,30;1.538,39;0
  04.07.2018;1.537,88;1.538,03;1.521,59;1.522,34;0
