Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;7.687,77;7.691,34;7.624,14;7.648,10;499.704.273
  03.01.2018;7.648,10;7.689,86;7.640,53;7.671,11;537.534.313
  04.01.2018;7.671,11;7.702,51;7.671,11;7.695,88;650.221.411
  05.01.2018;7.695,88;7.727,73;7.689,81;7.724,22;616.813.524
  08.01.2018;7.724,22;7.733,39;7.691,77;7.696,51;571.731.798
  09.01.2018;7.696,51;7.733,12;7.696,50;7.731,02;660.687.730
  10.01.2018;7.731,02;7.756,11;7.716,21;7.748,51;811.254.391
  11.01.2018;7.748,51;7.768,96;7.734,64;7.762,94;823.072.210
  12.01.2018;7.762,94;7.792,56;7.752,63;7.778,64;1.070.131.347
  15.01.2018;7.778,64;7.783,61;7.763,43;7.769,14;492.733.829
  16.01.2018;7.769,14;7.791,83;7.740,55;7.755,93;742.087.099
  17.01.2018;7.755,93;7.755,93;7.711,11;7.725,43;771.662.000
  18.01.2018;7.725,43;7.739,54;7.683,71;7.700,96;659.758.931
  19.01.2018;7.700,96;7.731,82;7.694,66;7.730,79;710.955.804
  22.01.2018;7.730,79;7.739,35;7.703,67;7.715,44;649.880.945
  23.01.2018;7.715,44;7.745,22;7.710,03;7.731,83;704.180.235
  24.01.2018;7.731,83;7.731,98;7.643,43;7.643,43;678.066.852
  25.01.2018;7.643,43;7.662,35;7.608,53;7.615,84;681.301.378
  26.01.2018;7.615,84;7.667,40;7.615,84;7.665,54;663.655.846
  29.01.2018;7.665,54;7.689,15;7.663,93;7.671,53;586.078.865
  30.01.2018;7.671,53;7.671,67;7.587,12;7.587,98;742.284.032
  31.01.2018;7.587,98;7.599,01;7.521,77;7.533,55;730.194.290
  01.02.2018;7.533,55;7.554,73;7.476,51;7.490,39;827.063.800
  02.02.2018;7.490,39;7.494,76;7.432,25;7.443,43;792.864.616
  05.02.2018;7.443,43;7.443,43;7.334,79;7.334,98;836.878.216
  06.02.2018;7.334,98;7.334,98;7.079,41;7.141,40;1.186.214.660
  07.02.2018;7.141,40;7.311,50;7.141,40;7.279,42;947.736.146
  08.02.2018;7.279,42;7.279,42;7.161,31;7.170,69;930.778.133
  09.02.2018;7.170,69;7.170,69;7.073,03;7.092,43;878.444.232
  12.02.2018;7.092,43;7.199,93;7.092,43;7.177,06;622.631.191
  13.02.2018;7.177,06;7.202,99;7.165,83;7.168,01;620.557.230
  14.02.2018;7.168,01;7.243,15;7.145,73;7.213,97;816.830.455
  15.02.2018;7.213,97;7.267,96;7.206,69;7.234,81;693.434.461
  16.02.2018;7.234,81;7.307,97;7.234,81;7.294,70;630.444.531
  19.02.2018;7.294,70;7.306,21;7.239,98;7.247,66;456.922.461
  20.02.2018;7.247,66;7.264,78;7.202,14;7.246,77;542.117.664
  21.02.2018;7.246,77;7.291,80;7.220,55;7.281,57;775.078.084
  22.02.2018;7.281,57;7.281,57;7.187,76;7.252,39;733.192.069
  23.02.2018;7.252,39;7.262,05;7.220,81;7.244,41;564.703.732
