Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;1.024,29;1.029,37;1.018,35;1.025,84;11.361.736
  03.01.2018;1.025,84;1.032,22;1.025,84;1.031,08;11.639.934
  04.01.2018;1.031,27;1.035,10;1.027,90;1.031,00;13.364.399
  05.01.2018;1.031,65;1.039,53;1.031,38;1.039,53;11.460.389
  08.01.2018;1.040,76;1.048,77;1.040,76;1.047,68;15.317.434
  09.01.2018;1.048,30;1.053,20;1.047,67;1.050,34;15.545.694
  10.01.2018;1.051,17;1.051,95;1.042,60;1.045,39;16.811.620
  11.01.2018;1.045,75;1.046,02;1.032,97;1.036,62;19.011.939
  12.01.2018;1.034,81;1.035,91;1.027,29;1.029,64;14.893.695
  15.01.2018;1.029,64;1.030,39;1.026,82;1.028,13;10.444.584
  16.01.2018;1.028,53;1.034,22;1.025,82;1.033,05;14.749.124
  17.01.2018;1.028,56;1.039,71;1.027,05;1.038,08;13.942.203
  18.01.2018;1.038,68;1.044,98;1.035,31;1.036,11;15.228.605
  19.01.2018;1.036,93;1.050,03;1.036,93;1.047,23;14.595.714
  22.01.2018;1.047,26;1.051,34;1.043,50;1.049,40;13.155.612
  23.01.2018;1.049,99;1.056,08;1.046,71;1.051,70;14.200.642
  24.01.2018;1.050,54;1.056,00;1.044,51;1.044,81;14.655.385
  25.01.2018;1.043,98;1.043,98;1.027,57;1.029,22;17.881.137
  26.01.2018;1.030,22;1.040,44;1.030,22;1.038,47;14.643.082
  29.01.2018;1.035,58;1.041,84;1.033,54;1.035,78;14.931.756
  30.01.2018;1.035,58;1.040,13;1.024,94;1.026,79;17.789.411
  31.01.2018;1.022,71;1.028,77;1.017,68;1.017,78;16.682.431
  01.02.2018;1.018,25;1.022,33;986,04;986,40;43.228.761
  02.02.2018;990,19;993,63;969,28;969,28;27.161.853
  05.02.2018;968,51;972,06;958,17;969,18;21.668.375
  06.02.2018;963,25;965,88;932,29;952,22;29.988.713
  07.02.2018;959,54;970,54;951,19;968,97;28.468.739
  08.02.2018;968,46;973,79;959,80;961,24;43.923.598
  09.02.2018;957,74;966,16;951,07;959,03;36.226.324
  12.02.2018;961,96;983,70;961,96;979,43;55.254.864
  13.02.2018;979,54;981,19;968,76;970,14;25.974.718
  14.02.2018;970,89;981,96;968,31;979,76;21.943.835
  15.02.2018;979,90;990,42;979,90;985,81;18.834.321
  16.02.2018;991,41;1.006,70;990,69;1.005,86;19.380.439
  19.02.2018;1.005,70;1.007,03;994,08;994,24;10.918.753
  20.02.2018;993,46;995,96;988,62;995,74;16.123.686
  21.02.2018;996,06;1.000,50;990,06;998,52;14.028.185
  22.02.2018;999,09;1.017,02;994,39;1.011,51;20.556.742
  23.02.2018;1.011,86;1.022,37;1.010,26;1.020,02;15.045.434
  26.02.2018;1.021,48;1.030,55;1.021,48;1.030,41;14.522.091
  27.02.2018;1.030,44;1.030,50;1.013,82;1.017,54;15.763.245
  28.02.2018;1.015,91;1.016,04;1.009,39;1.011,81;22.722.839
  01.03.2018;1.011,15;1.011,15;994,37;996,76;16.796.456
  02.03.2018;994,93;994,93;979,63;981,41;18.014.745
  05.03.2018;981,10;987,04;978,30;984,85;14.353.827
  06.03.2018;985,83;996,52;985,28;985,39;14.459.031
  07.03.2018;983,69;987,76;979,87;987,76;14.287.913
  08.03.2018;987,90;998,91;987,28;998,64;13.160.300
  09.03.2018;997,82;1.001,02;995,49;998,08;13.777.096
  12.03.2018;1.000,71;1.003,38;999,20;1.000,20;10.974.525
  13.03.2018;1.000,07;1.007,80;991,65;991,70;15.530.318
  14.03.2018;991,70;996,15;988,79;988,79;15.051.656
  15.03.2018;989,16;996,81;986,27;994,23;16.184.278
  16.03.2018;990,46;994,56;988,07;990,92;22.099.233
  19.03.2018;991,34;994,04;983,86;987,95;14.304.408
  20.03.2018;988,03;990,18;979,86;987,41;12.027.657
