Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;1.247,65;1.256,49;1.245,24;1.256,37;0
  03.01.2018;1.259,05;1.261,67;1.251,96;1.256,58;0
  04.01.2018;1.260,55;1.263,65;1.251,31;1.263,65;0
  05.01.2018;1.261,66;1.271,81;1.257,19;1.267,33;0
  08.01.2018;1.261,69;1.271,59;1.261,69;1.267,99;0
  09.01.2018;1.269,64;1.277,70;1.265,01;1.277,54;0
  10.01.2018;1.276,09;1.281,73;1.274,42;1.280,89;0
  11.01.2018;1.281,04;1.281,04;1.267,91;1.277,08;0
  12.01.2018;1.277,45;1.278,12;1.267,61;1.270,71;0
  15.01.2018;1.270,71;1.276,10;1.267,95;1.271,07;0
  16.01.2018;1.272,44;1.273,28;1.269,59;1.269,85;0
  17.01.2018;1.270,65;1.270,65;1.262,34;1.267,54;0
  18.01.2018;1.269,38;1.279,85;1.269,31;1.279,48;0
  19.01.2018;1.280,21;1.281,27;1.274,11;1.278,75;0
  22.01.2018;1.279,71;1.283,33;1.276,34;1.280,75;0
  23.01.2018;1.279,24;1.283,40;1.278,43;1.278,80;0
  24.01.2018;1.279,20;1.286,31;1.278,03;1.285,23;0
  25.01.2018;1.283,69;1.287,43;1.281,27;1.281,79;0
  26.01.2018;1.281,79;1.291,69;1.281,79;1.290,09;0
  29.01.2018;1.291,22;1.292,53;1.286,09;1.289,24;0
  30.01.2018;1.285,83;1.291,79;1.285,71;1.290,81;0
  31.01.2018;1.285,02;1.292,43;1.285,02;1.290,07;0
  01.02.2018;1.292,14;1.296,48;1.287,36;1.287,36;0
  02.02.2018;1.289,40;1.298,05;1.289,40;1.297,50;0
  05.02.2018;1.295,19;1.295,75;1.288,92;1.290,16;0
  06.02.2018;1.269,55;1.272,06;1.248,51;1.255,38;0
  07.02.2018;1.260,70;1.273,98;1.260,28;1.271,01;0
  08.02.2018;1.279,75;1.286,01;1.279,43;1.284,37;0
  09.02.2018;1.275,40;1.279,00;1.264,27;1.273,60;0
  12.02.2018;1.277,27;1.279,49;1.272,37;1.275,83;0
  13.02.2018;1.276,25;1.279,54;1.262,33;1.267,81;0
  14.02.2018;1.271,09;1.273,97;1.263,30;1.269,66;0
  15.02.2018;1.269,55;1.275,18;1.269,55;1.274,77;0
  16.02.2018;1.275,08;1.275,26;1.268,84;1.270,59;0
  19.02.2018;1.272,33;1.281,53;1.272,33;1.280,94;0
  20.02.2018;1.277,28;1.280,30;1.271,07;1.277,74;0
  21.02.2018;1.277,20;1.281,16;1.271,67;1.281,16;0
  22.02.2018;1.281,56;1.285,84;1.275,71;1.283,97;0
  23.02.2018;1.285,24;1.292,24;1.282,15;1.290,09;0
  26.02.2018;1.289,46;1.295,02;1.286,26;1.293,80;0
  27.02.2018;1.301,64;1.307,10;1.296,03;1.298,60;0
  28.02.2018;1.303,97;1.319,03;1.302,44;1.319,03;0
  01.03.2018;1.320,62;1.320,62;1.311,65;1.312,87;0
