Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;3.919,60;3.932,64;3.905,43;3.930,17;41.159.596
  03.01.2018;3.931,17;3.970,54;3.931,17;3.963,76;40.417.230
  04.01.2018;3.967,23;4.002,39;3.967,23;3.994,84;40.395.680
  05.01.2018;3.992,51;4.018,46;3.991,11;4.018,40;37.831.102
  08.01.2018;4.018,84;4.040,29;4.018,84;4.030,28;30.398.350
  09.01.2018;4.029,42;4.057,29;4.025,29;4.053,86;34.769.987
  10.01.2018;4.051,99;4.051,99;4.022,73;4.033,16;40.245.345
  11.01.2018;4.033,98;4.042,59;4.017,48;4.023,69;36.389.104
  12.01.2018;4.026,14;4.038,28;4.011,74;4.036,64;44.757.110
  15.01.2018;4.036,64;4.041,46;4.020,61;4.023,68;30.607.677
  16.01.2018;4.024,25;4.053,88;4.024,25;4.029,01;36.381.312
  17.01.2018;4.028,83;4.058,41;4.015,90;4.037,83;39.285.405
  18.01.2018;4.039,23;4.058,34;4.038,24;4.055,09;49.175.698
  19.01.2018;4.054,47;4.102,42;4.054,38;4.090,89;40.148.411
  22.01.2018;4.093,07;4.126,66;4.093,07;4.112,93;37.430.672
  23.01.2018;4.120,65;4.129,42;4.091,96;4.114,49;35.558.639
  24.01.2018;4.114,95;4.119,88;4.073,32;4.077,66;37.700.134
  25.01.2018;4.077,03;4.077,03;4.021,15;4.026,41;48.297.574
  26.01.2018;4.027,39;4.059,86;4.010,01;4.049,48;42.710.620
  29.01.2018;4.054,20;4.079,08;4.053,97;4.064,33;46.632.782
  30.01.2018;4.062,59;4.074,75;4.035,20;4.037,00;43.334.749
  31.01.2018;4.037,60;4.073,77;4.037,60;4.042,01;73.313.997
  01.02.2018;4.047,43;4.155,22;4.044,93;4.139,46;114.691.730
  02.02.2018;4.148,28;4.156,01;4.097,36;4.099,55;72.347.294
  05.02.2018;4.096,45;4.096,45;4.048,70;4.062,97;69.570.177
  06.02.2018;4.053,44;4.053,44;3.908,44;3.974,12;94.019.295
  07.02.2018;3.981,87;4.061,86;3.981,87;4.052,16;65.330.086
  08.02.2018;4.048,72;4.066,20;3.958,98;3.959,19;61.631.890
  09.02.2018;3.958,89;3.977,89;3.908,29;3.920,85;65.510.791
  12.02.2018;3.949,61;4.001,34;3.949,61;3.978,38;44.783.913
  13.02.2018;3.982,10;3.993,42;3.958,47;3.965,01;32.613.083
  14.02.2018;3.971,02;4.019,13;3.948,22;4.017,66;41.011.683
  15.02.2018;4.029,41;4.087,41;4.029,41;4.063,85;44.962.605
  16.02.2018;4.068,15;4.135,82;4.068,15;4.133,60;43.888.748
  19.02.2018;4.134,79;4.145,77;4.104,82;4.112,83;27.517.417
  20.02.2018;4.113,17;4.142,86;4.112,26;4.142,86;30.861.831
  21.02.2018;4.148,66;4.162,12;4.112,16;4.159,57;30.520.457
  22.02.2018;4.157,95;4.157,95;4.105,49;4.135,31;32.820.837
  23.02.2018;4.132,49;4.146,19;4.121,14;4.141,08;28.424.388
  26.02.2018;4.148,01;4.192,12;4.148,01;4.173,51;42.260.589
  27.02.2018;4.173,93;4.177,02;4.136,71;4.152,72;33.586.665
  28.02.2018;4.149,40;4.149,40;4.119,70;4.128,04;39.115.256
  01.03.2018;4.125,77;4.125,77;4.067,49;4.075,10;42.613.299
  02.03.2018;4.071,62;4.071,62;3.980,21;3.989,95;43.638.074
  05.03.2018;3.987,75;4.034,03;3.981,33;4.028,77;37.236.364
  06.03.2018;4.040,46;4.074,52;4.040,46;4.049,88;41.687.692
  07.03.2018;4.048,25;4.078,37;4.022,30;4.074,38;40.430.116
  08.03.2018;4.075,19;4.134,50;4.075,19;4.132,49;35.379.875
  09.03.2018;4.131,72;4.140,08;4.095,48;4.138,14;35.236.202
  12.03.2018;4.143,66;4.162,94;4.124,21;4.132,58;29.705.559
  13.03.2018;4.134,31;4.135,18;4.075,14;4.083,43;39.385.799
  14.03.2018;4.086,85;4.112,51;4.076,88;4.081,71;36.446.281
  15.03.2018;4.081,99;4.114,67;4.081,99;4.113,21;37.391.480
  16.03.2018;4.118,57;4.123,73;4.089,34;4.090,17;102.659.087
  19.03.2018;4.088,35;4.099,97;4.052,14;4.057,95;41.350.277
  20.03.2018;4.062,60;4.090,65;4.059,44;4.081,94;36.552.334
  21.03.2018;4.081,95;4.096,00;4.058,70;4.085,74;35.015.420
  22.03.2018;4.081,69;4.081,69;4.004,51;4.020,92;54.069.381
  23.03.2018;4.013,05;4.013,05;3.931,90;3.995,70;47.856.676
  26.03.2018;3.995,07;4.025,21;3.951,63;3.956,98;44.554.356
  27.03.2018;3.972,06;4.031,48;3.972,06;4.005,02;41.445.360
  28.03.2018;3.984,33;3.997,05;3.931,05;3.997,05;46.572.512
  29.03.2018;3.998,19;4.023,12;3.976,47;4.014,39;42.238.074
  03.04.2018;4.008,93;4.008,93;3.959,21;3.972,74;42.575.514
  04.04.2018;3.976,08;3.999,55;3.912,07;3.933,48;45.098.136
  05.04.2018;3.947,20;4.018,36;3.947,20;4.018,21;42.971.308
  06.04.2018;4.013,14;4.013,14;3.969,69;3.977,92;37.779.209
  09.04.2018;3.979,84;4.011,34;3.957,10;3.968,14;31.120.615
  10.04.2018;3.973,98;3.998,06;3.961,84;3.994,63;37.714.011
  11.04.2018;3.993,95;3.996,90;3.953,66;3.961,76;41.688.418
  12.04.2018;3.967,25;4.005,03;3.965,12;4.002,59;40.699.339
  13.04.2018;4.006,95;4.050,80;4.006,95;4.021,67;36.445.338
  16.04.2018;4.022,64;4.027,54;3.999,19;4.009,04;25.273.572
  17.04.2018;4.009,76;4.063,38;4.007,53;4.059,23;52.979.731
  18.04.2018;4.059,23;4.076,75;4.059,23;4.070,79;22.800.101
  19.04.2018;4.072,38;4.105,76;4.072,38;4.102,02;34.876.392
  20.04.2018;4.104,75;4.115,98;4.080,56;4.088,89;56.743.206
  23.04.2018;4.090,03;4.103,84;4.068,10;4.103,84;38.145.320
  24.04.2018;4.103,92;4.105,97;4.059,46;4.075,90;42.560.248
  25.04.2018;4.070,60;4.075,51;4.032,67;4.069,12;62.204.184
  26.04.2018;4.071,88;4.133,05;4.018,40;4.125,49;101.550.004
  27.04.2018;4.124,88;4.169,48;4.117,29;4.162,17;54.655.930
  30.04.2018;4.162,08;4.165,27;4.158,35;4.163,32;51.980.061
  02.05.2018;4.165,23;4.197,94;4.154,88;4.159,43;64.583.076
  03.05.2018;4.159,44;4.172,79;4.105,28;4.106,93;46.102.173
  04.05.2018;4.107,78;4.152,16;4.107,23;4.150,06;57.872.162
  07.05.2018;4.150,53;4.193,27;4.149,38;4.191,73;41.070.138
  08.05.2018;4.191,88;4.229,15;4.184,82;4.229,15;42.491.082
  09.05.2018;4.232,50;4.232,50;4.201,22;4.220,85;37.469.800
  11.05.2018;4.220,88;4.262,79;4.220,88;4.260,64;37.520.189
  14.05.2018;4.261,43;4.261,43;4.213,12;4.251,21;38.300.584
  15.05.2018;4.250,38;4.269,96;4.228,16;4.258,92;33.749.085
  16.05.2018;4.259,26;4.283,73;4.244,58;4.274,12;30.626.669
  17.05.2018;4.274,64;4.291,72;4.268,13;4.291,70;28.577.484
  18.05.2018;4.290,63;4.306,10;4.277,65;4.295,85;35.042.611
  21.05.2018;4.298,46;4.335,81;4.298,46;4.327,85;19.226.919
  22.05.2018;4.327,58;4.366,07;4.298,83;4.363,30;36.192.593
