Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2018;993,90;1.001,44;993,90;1.001,44;0
  03.01.2018;1.001,44;1.009,20;1.001,44;1.002,63;0
  04.01.2018;1.001,68;1.013,66;1.001,68;1.013,66;0
  05.01.2018;1.016,25;1.030,60;1.015,43;1.028,19;0
  08.01.2018;1.030,89;1.034,90;1.030,37;1.031,57;0
  09.01.2018;1.032,00;1.032,00;1.027,12;1.029,27;0
  10.01.2018;1.032,68;1.036,03;1.026,34;1.030,86;0
  11.01.2018;1.030,86;1.037,25;1.027,44;1.027,44;0
  12.01.2018;1.020,60;1.029,78;1.020,60;1.029,78;0
  15.01.2018;1.029,78;1.031,23;1.023,60;1.025,50;0
  16.01.2018;1.025,76;1.025,76;1.022,43;1.023,91;0
  17.01.2018;1.025,12;1.032,05;1.025,12;1.026,99;0
  18.01.2018;1.026,99;1.033,41;1.026,99;1.033,02;0
  19.01.2018;1.036,43;1.046,33;1.036,43;1.040,24;0
  22.01.2018;1.041,24;1.041,52;1.038,67;1.038,67;0
  23.01.2018;1.038,67;1.042,11;1.035,55;1.037,19;0
  24.01.2018;1.037,21;1.038,73;1.031,24;1.031,47;0
  25.01.2018;1.031,47;1.039,67;1.025,60;1.039,67;0
  26.01.2018;1.039,27;1.039,45;1.022,87;1.034,90;0
  29.01.2018;1.034,47;1.035,62;1.033,28;1.035,62;0
  30.01.2018;1.035,62;1.036,15;1.027,88;1.036,15;0
  31.01.2018;1.035,75;1.035,75;1.034,52;1.034,53;0
  01.02.2018;1.034,51;1.040,55;1.034,51;1.040,09;0
  02.02.2018;1.040,09;1.040,09;1.018,85;1.020,82;0
  05.02.2018;1.020,76;1.020,85;1.017,42;1.018,87;0
  06.02.2018;1.008,45;1.008,63;996,28;1.001,92;0
  07.02.2018;1.004,61;1.020,18;1.004,61;1.015,71;0
  08.02.2018;1.012,29;1.013,84;1.010,07;1.010,07;0
  09.02.2018;1.008,17;1.008,17;994,38;998,16;0
  12.02.2018;998,56;1.001,27;998,01;1.000,00;0
  13.02.2018;999,89;1.004,78;999,80;1.003,91;0
  14.02.2018;1.005,89;1.023,41;1.005,46;1.023,10;0
  15.02.2018;1.023,10;1.024,86;1.022,53;1.024,36;0
  16.02.2018;1.024,36;1.031,92;1.023,21;1.031,92;0
  19.02.2018;1.021,73;1.023,11;1.018,64;1.022,50;0
  20.02.2018;1.023,43;1.025,98;1.021,33;1.024,25;0
  21.02.2018;1.024,25;1.025,74;1.019,25;1.019,25;0
  22.02.2018;1.019,00;1.019,00;1.013,03;1.014,68;0
  23.02.2018;1.014,78;1.023,15;1.014,78;1.021,33;0
  26.02.2018;1.021,03;1.028,36;1.019,61;1.026,76;0
  27.02.2018;1.025,31;1.026,20;1.021,70;1.026,20;0
  28.02.2018;1.033,77;1.037,02;1.031,14;1.034,13;0
  01.03.2018;1.033,83;1.038,53;1.020,28;1.020,28;0
  02.03.2018;1.020,28;1.027,34;1.015,37;1.027,02;0
  05.03.2018;1.039,69;1.039,69;1.035,39;1.036,07;0
  06.03.2018;1.038,00;1.042,30;1.037,21;1.041,69;0
  07.03.2018;1.042,17;1.044,33;1.021,44;1.023,17;0
  08.03.2018;1.044,30;1.044,68;1.043,98;1.043,98;0
  09.03.2018;1.045,47;1.045,70;1.044,26;1.045,29;0
  12.03.2018;1.046,34;1.047,01;1.016,98;1.016,98;0
  13.03.2018;1.016,98;1.041,23;1.015,20;1.040,70;0
  14.03.2018;1.040,70;1.041,44;1.038,45;1.038,70;0
  15.03.2018;1.040,37;1.040,37;1.035,50;1.035,50;0
  16.03.2018;1.035,50;1.035,50;1.029,47;1.029,79;0
  19.03.2018;1.030,04;1.035,10;1.025,55;1.032,54;0
  20.03.2018;1.033,72;1.048,35;1.033,72;1.048,35;0
  21.03.2018;1.049,63;1.049,63;1.036,86;1.036,91;0
  22.03.2018;1.038,08;1.053,68;1.036,37;1.038,33;0
  23.03.2018;1.037,20;1.050,10;1.037,20;1.040,15;0
  26.03.2018;1.040,15;1.042,25;1.039,70;1.040,42;0
  27.03.2018;1.040,42;1.042,40;1.039,56;1.040,33;0
  28.03.2018;1.042,93;1.043,89;1.038,14;1.039,37;0
  29.03.2018;1.044,77;1.046,18;1.041,56;1.046,18;0
  03.04.2018;1.050,74;1.050,74;1.041,49;1.044,34;0
  04.04.2018;1.044,34;1.044,79;1.036,13;1.042,25;0
  05.04.2018;1.042,25;1.042,29;1.030,01;1.031,60;0
  06.04.2018;1.031,60;1.040,68;1.030,42;1.040,68;0
  09.04.2018;1.040,68;1.040,68;1.026,58;1.029,17;0
  10.04.2018;1.029,42;1.045,06;1.029,42;1.045,06;0
  11.04.2018;1.045,06;1.051,84;1.031,37;1.031,40;0
  12.04.2018;1.032,57;1.035,56;1.031,38;1.035,31;0
  13.04.2018;1.044,04;1.044,04;1.033,24;1.041,69;0
  16.04.2018;1.051,29;1.052,47;1.034,18;1.036,37;0
  17.04.2018;1.036,44;1.041,68;1.034,48;1.041,68;0
  18.04.2018;1.054,35;1.054,35;1.041,68;1.054,35;0
  19.04.2018;1.054,35;1.062,92;1.049,64;1.051,70;0
  20.04.2018;1.055,79;1.056,15;1.049,93;1.051,53;0
  23.04.2018;1.052,70;1.052,70;1.048,20;1.048,70;0
  24.04.2018;1.048,70;1.049,88;1.046,09;1.046,09;0
  25.04.2018;1.046,09;1.050,67;1.046,09;1.047,33;0
  26.04.2018;1.047,33;1.061,52;1.047,33;1.061,52;0
  27.04.2018;1.062,67;1.062,67;1.036,98;1.039,17;0
  02.05.2018;1.038,06;1.143,65;1.037,93;1.118,04;0
  03.05.2018;1.118,04;1.118,04;1.029,93;1.031,00;0
  07.05.2018;1.111,53;1.111,53;1.032,30;1.036,31;0
  08.05.2018;1.036,95;1.049,48;1.036,89;1.046,68;0
  09.05.2018;1.047,43;1.047,91;1.046,13;1.047,75;0
  11.05.2018;1.047,75;1.071,77;1.046,07;1.071,77;0
  14.05.2018;1.071,49;1.071,49;1.069,31;1.069,31;0
  15.05.2018;1.068,09;1.068,09;1.039,60;1.041,95;0
  16.05.2018;1.041,48;1.073,15;1.041,48;1.073,15;0
  17.05.2018;1.039,22;1.067,63;1.036,52;1.040,80;0
  18.05.2018;1.040,80;1.048,61;1.038,66;1.047,10;0
  21.05.2018;1.046,24;1.047,73;1.033,73;1.037,29;0
  22.05.2018;1.037,29;1.041,26;1.034,68;1.040,77;0
  23.05.2018;1.040,89;1.045,69;1.036,84;1.038,71;0
  24.05.2018;1.038,71;1.040,92;1.038,04;1.038,54;0
  25.05.2018;1.038,74;1.049,53;1.034,02;1.049,21;0
  28.05.2018;1.048,35;1.062,00;1.048,35;1.058,55;0
  29.05.2018;1.058,55;1.059,32;1.046,22;1.046,22;0
  30.05.2018;1.046,45;1.062,30;1.045,13;1.058,61;0
  31.05.2018;1.058,71;1.058,99;1.054,83;1.058,16;0
  01.06.2018;1.044,48;1.050,07;1.040,97;1.044,18;0
  04.06.2018;1.048,43;1.052,82;1.045,06;1.046,02;0
  05.06.2018;1.046,22;1.052,00;1.042,31;1.048,05;0
  06.06.2018;1.048,05;1.050,40;1.044,49;1.047,16;0
  07.06.2018;1.047,16;1.048,15;1.046,00;1.047,21;0
  08.06.2018;1.047,85;1.047,88;1.038,17;1.038,17;0
  11.06.2018;1.036,78;1.037,74;1.035,18;1.035,18;0
  12.06.2018;1.035,38;1.044,41;1.034,24;1.042,07;0
  13.06.2018;1.042,07;1.057,39;1.042,07;1.055,04;0
  14.06.2018;1.055,04;1.058,55;1.049,95;1.050,05;0
  15.06.2018;1.050,05;1.050,35;1.041,28;1.041,28;0
  18.06.2018;1.041,57;1.050,71;1.041,49;1.050,18;0
  19.06.2018;1.049,20;1.049,20;1.029,43;1.029,43;0
